
p,bu3,پ
postahanelerden,bu3wsbo2h||xo1ebo1h||lrdbo1,پوسته‌خانه‌لردن
postahanelere,bu3wsbo2h||xo1ebo1h||lrh,پوسته‌خانه‌لره
postahanesi,bu3wsbo2h||xo1ebo1h||sy,پوسته‌خانه‌سی
postahanesinde,bu3wsbo2h||xo1ebo1h||sbo1dh,پوسته‌خانه‌سنده
postahanesinden,bu3wsbo2h||xo1ebo1h||sbo1dbo1,پوسته‌خانه‌سندن
postahanesine,bu3wsbo2h||xo1ebo1h||sbo1h,پوسته‌خانه‌سنه
postahaneye,bu3wsbo2h||xo1ebo1h||yh,پوسته‌خانه‌یه
postahâne,bu3wsbo2h xo1ebo1h,پوسته خانه
postahâne,bu3wsbo2h||xo1ebo1h,پوسته‌خانه
postal,bu3wsbo2el,پوستال
postane,bu3wsbo2h<>xo1ebo1h||,پوسته‌خانه‌
postaya vermek,bu3wsbo2h bu2h wbu2rmk,پوسته يه ويرمک
postaya vermek,bu3wsbo2h yh wyrmk,پوسته یه ویرمک
postaya,bu3wsbo2h||yh,پوسته‌یه
postayı,bu3wsbo2h||yy,پوسته‌یی
posteki,bu3wsbo2h||ky,پوسته‌کی
posteki,bu3wsbo2ky,پوستکی
postin,bu3sbo2ybo1,پستین
postla,bu3wsbo2lh,پوستله
postlarıyla,bu3wsbo2lrylh,پوستلریله
postnişin,bu3sbo2 bo1so3bu2 bo1,پست نشي ن
postnişin,bu3sbo2 bo1so3y bo1,پست نشی ن
postnişin,bu3sbo2 bo1so3ybo1,پست نشین
postu,bu3wsbo2y,پوستی
postuna,bu3wsbo2bo1h,پوستنه
postunu,bu3wsbo2bo1y,پوستنی
postâne,bu3wsbo2h||xo1ebo1h,پوسته‌خانه
postîn,bu3sbo2bu2bo1,پستين
pot,bu3wbo2,پوت
pot,bu3wt,پوط
pota,bu3wbo2e,پوتا
pota,bu3wbo2h,پوته
pota,bu3wbo2h||,پوته‌
pota,bu3wth,پوطه
pota,bu3wth||,پوطه‌
pota-i,bu3wbo2hu4,پوتهِ
potada,bu3wbo2h||dh,پوته‌ده
potur,bu3wtwr,پوطور
poyraz,bu3wbu2rero1,پويراز
poyraz,bu3wyrero1,پویراز
poyrazla,bu3wyrero1le,پویرازلا
poyrazlamak,bu3wbu2rero1lemfo2,پويرازلامق
poyrazlamak,bu3wyrero1lemfo2,پویرازلامق
pozitif,bu3wro1ybo2yfo1,پوزیتیف
pozitivism,bu3wro1bu2bo2bu2swbu2ro1m,پوزيتيسويزم
pozitivism,bu3wro1ybo2yswyro1m,پوزیتیسویزم
pozitivist,bu3wro1bu2bo2bu2fo1,پوزيتيف
pozitivist,bu3wro1bu2bo2bu2swbu2sbo2,پوزيتيسويست
pozitivist,bu3wro1ybo2yfo1,پوزیتیف
pozitivist,bu3wro1ybo2yswysbo2,پوزیتیسویست
pozitivizm,bu3wro1ybo2wyro1m,پوزیتویزم
poşu,bu3wso3w,پوشو
pragmatism,bu3reao1mebo2bu2ro1m,پراغماتيزم
pragmatism,bu3reao1mebo2yro1m,پراغماتیزم
pranga,bu3rebo1ao1e,پرانغا
prangalı,bu3rebo1ao1h lw,پرانغه لو
prasa,bu3rezh,پراصه
prasa,bu3rezh||,پراصه‌
prazvana,bu3rero1webo1h,پرازوانه
prazvana,bu3rero1webo1h||,پرازوانه‌
prens,bu3rbo1s,پرنس
prens,bu3rh<>bo1s,پره‌نس
prensibi,bu3rbo1sbu1y,پرنسبی
prensibidir,bu3rbo1sbu1ydr,پرنسبیدر
prensibimiz,bu3rbo1sbu1mro1,پرنسبمز
prensibimize,bu3rbo1sbu1mro1h,پرنسبمزه
prensibin,bu3rbo1sbu1ko3,پرنسبڭ
prensibinde,bu3rbo1sbu1bo1dh,پرنسبنده
prensibine,bu3rbo1sybu1bo1h,پرنسیبنه
prensibini,bu3rbo1sbu1bo1y,پرنسبنی
prensibiyle,bu3rbo1sbu1ylh,پرنسبیله
prensip,bu3rbo1sbu1,پرنسب
prensip,bu3rh<>bo1sybu3,پره‌نسیپ
prensip,bu3rh||bo1sbu2bu3,پره‌نسيپ
prensipler,bu3rbo1sybu1lr,پرنسیبلر
prensipleri,bu3rbo1sybu1lry,پرنسیبلری
prensiplerimize,bu3rbo1sbu1lrymro1h,پرنسبلریمزه
prensiplerin,bu3rbo1sybu1lrko3,پرنسیبلرڭ
prensiplerine,bu3rbo1sbu1lrybo1h,پرنسبلرینه
prensiplerini,bu3rbo1sbu1lrybo1y,پرنسبلرینی
prensiplerinin,bu3rbo1sybu1lrybo1ko3,پرنسیبلرینڭ
prensiplerinizle,bu3rbo1sbu1lryko3ro1lh,پرنسبلریڭزله
prensipleriyle,bu3rbo1sbu1lrylh,پرنسبلریله
prensiplerle,bu3rbo1sybu1lrlh,پرنسیبلرله
prenslik,bu3rbo1slk,پرنسلک
pres,bu3u4ro4so0,پِرَسْ
prestijini,bu3rsbo2yro3ybo1y,پرستیژینی
presto,bu3rh<>sbo2w,پره‌ستو
presto,bu3rh||sbo2w,پره‌ستو
prev,bu3rh||w,پره‌و
prim,bu3rbu2m,پريم
prim,bu3rym,پریم
priz,bu3rbu2ro1,پريز
priz,bu3ryro1,پریز
profesör,bu3rwfo1swr,پروفسور
profesörler,bu3rwfo1swrlr,پروفسورلر
profesörlerce,bu3rwfo1swrlrxu1h,پروفسورلرجه
profesörü,bu3rwfo1swry,پروفسوری
profesörün,bu3rwfo1swrko3,پروفسورڭ
program,bu3rwao1rem,پروغرام
programlar,bu3rwao1remlr,پروغراملر
programları,bu3rwao1remlry,پروغراملری
programı,bu3rwao1remy,پروغرامی
programını,bu3rwao1rembo1y,پروغرامنی
proje,bu3rwro3h,پروژه
proje,bu3rwro3h||,پروژه‌
projeksiyon,bu3rwro3h<>ksywbo1,پروژه‌کسیون
projeksiyon,bu3rwro3h||ksbu2wbo1,پروژه‌کسيون
projeksiyon,bu3rwro3ksywbo1,پروژکسیون
projektör,bu3rwro3h<>ksbo2wr,پروژه‌کستور
projektör,bu3rwro3h||ksbo2wr,پروژه‌کستور
projektör-misal,bu3rwro3kbo2wrmbo3el,پروژکتورمثال
projektörlerle,bu3rwro3kbo2wrlrlh,پروژکتورلرله
projektörü,bu3rwro3kbo2wry,پروژکتوری
proleter,bu3rwlh<>bo2r,پروله‌تر
proleter,bu3rwlh||bo2r,پروله‌تر
proleterya,bu3rwlh<>bo2erye,پروله‌تاریا
proleterya,bu3rwlh||bo2erbu2e,پروله‌تاريا
propaganda,bu3rwbu3eao1bo1dh,پروپاغنده
propaganda,bu3rwbu3eao1ebo1de,پروپاغاندا
propaganda-i,bu3rwbu3eao1bo1dhu4,پروپاغندهِ
propagandacı,bu3rwbu3eao1ebo1dexu1y,پروپاغانداجی
propagandacılar,bu3rwbu3eao1bo1dh||xu1ylr,پروپاغنده‌جیلر
propagandacıları,bu3rwbu3eao1bo1dh||xu1ylry,پروپاغنده‌جیلری
propagandacılarına,bu3rwbu3eao1bo1dh||xu1ylrybo1h,پروپاغنده‌جیلرینه
propagandadır,bu3rwbu3eao1bo1dh||dr,پروپاغنده‌در
propagandalar,bu3rwbu3eao1bo1dh||lr,پروپاغنده‌لر
propagandalara,bu3rwbu3eao1bo1dh||lrh,پروپاغنده‌لره
propagandalarda,bu3rwbu3eao1bo1dh||lrdh,پروپاغنده‌لرده
propagandalardan,bu3rwbu3eao1bo1dh||lrdbo1,پروپاغنده‌لردن
propagandalarla,bu3rwbu3eao1bo1dh||lrlh,پروپاغنده‌لرله
propagandaları,bu3rwbu3eao1bo1dh||lry,پروپاغنده‌لری
propagandalarına,bu3rwbu3eao1bo1dh||lrybo1h,پروپاغنده‌لرینه
propagandalarını,bu3rwbu3eao1bo1dh||lrybo1y,پروپاغنده‌لرینی
propagandanızla,bu3rwbu3eao1bo1dh||ko3ro1lh,پروپاغنده‌ڭزله
propagandası,bu3rwbu3eao1bo1dh||sy,پروپاغنده‌سی
propagandasına,bu3rwbu3eao1bo1dh||sbo1h,پروپاغنده‌سنه
propagandasında,bu3rwbu3eao1bo1dh||sbo1dh,پروپاغنده‌سنده
propagandasını,bu3rwbu3eao1bo1dh||sbo1y,پروپاغنده‌سنی
propagandaya,bu3rwbu3eao1bo1dh||yh,پروپاغنده‌یه
protestan,bu3rwbo2sbo2ebo1,پروتستان
protestanlık,bu3rwbo2sbo2ebo1lfo2,پروتستانلق
protestanlığa,bu3rwbo2sbo2ebo1lao1h,پروتستانلغه
protestanlığı,bu3rwbo2sbo2ebo1lao1y,پروتستانلغی
protesto etmek,bu3rwbo2stw e,پروتسطو ا
protesto vermek,bu3rwbo2stw wbu2rmk,پروتسطو ويرمک
protesto vermek,bu3rwbo2stw wyrmk,پروتسطو ویرمک
protesto,bu3rwbo2sbo2w,پروتستو
protesto,bu3rwbo2stw,پروتسطو
protokol,bu3rwbo2wfo2wl,پروتوقول
protoplazma,bu3rwbo2wbu3lesme,پروتوپلاسما
prova,bu3rwwe,پرووا
proğram,bu3rwao1rem,پروغرام
proğrama,bu3rwao1remh,پروغرامه
proğramla,bu3rwao1remlh,پروغرامله
proğramlar,bu3rwao1remlr,پروغراملر
proğramları,bu3rwao1remlry,پروغراملری
proğramlarını,bu3rwao1remlrybo1y,پروغراملرینی
proğramlarının,bu3rwao1remlrybo1ko3,پروغراملرینڭ
proğramı,bu3rwao1remy,پروغرامی
proğramıdır,bu3rwao1remydr,پروغرامیدر
proğramımız,bu3rwao1remmro1,پروغراممز
proğramını,bu3rwao1rembo1y,پروغرامنی
proğramıyla,bu3rwao1remylh,پروغرامیله
prusya,bu3rwsye,پروسیا
pruva direği,bu3rwwh dbu2rky,پرووه ديرکی
pruva direği,bu3rwwh dyrky,پرووه دیرکی
psikolog,bu3syfo2wlwao1,پسیقولوغ
psikologlar,bu3ysyfo2wlwao1lr,پیسیقولوغلر
psikoloji,bu3sbu2fo2wlwro3y,پسيقولوژی
psikoloji,bu3syfo2wlwro3y,پسیقولوژی
psikoz,bu3sbu2fo2wro1,پسيقوز
psikoz,bu3syfo2wro1,پسیقوز
pud,bu3wd,پود
puf,bu3wfo1,پوف
pufla,bu3wfo1le,پوفلا
pufla,bu3wfo1lh,پوفله
pufla,bu3wfo1lh||,پوفله‌
puflamak,bu3wfo1lemfo2,پوفلامق
puhte,bu3xo1bo2h,پخته
puhte,bu3xo1bo2h||,پخته‌
puhu,bu3whw,پوهو
pul ile yapıştırmak,bu3wl ebu2lh bu2ebu3so3drmfo2,پول ايله ياپشدرمق
pul ile yapıştırmak,bu3wl eylh yebu3so3drmfo2,پول ایله یاپشدرمق
pul,bu3wl,پول
pulad,bu3wled,پولاد
pulat,bu3wled,پولاد
pulcu,bu3wlxu1y,پولجی
pur,bu3r,پر
pur,bu3wr,پور
purutlar,bu3rwbo2lr,پروتلر
purutluk,bu3rwbo2lfo2,پروتلق
purutlukta,bu3rwbo2lfo2dh,پروتلقده
purutluğa,bu3rwbo2lao1h,پروتلغه
pus,bu3ws,پوس
pusla,bu3wzle,پوصلا
pusla,bu3wzlh,پوصله
pusla,bu3wzlh||,پوصله‌
puslada,bu3wzlh||dh,پوصله‌ده
pusladaki,bu3wzlh||dh||ky,پوصله‌ده‌کی
puslalık,bu3wzlh<>lfo2,پوصله‌لق
puslalık,bu3wzlh||lfo2,پوصله‌لق
puslan,bu3wzlebo1,پوصلان
puslanmak,bu3wzlebo1mfo2,پوصلانمق
puslasında,bu3wzlh||sbo1dh,پوصله‌سنده
puslasını,bu3wzlh||sbo1y,پوصله‌سنی
puslayı,bu3wzlh||yy,پوصله‌یی
pusu,bu3wzw,پوصو
pusula,bu2wzlh,يوصله
pusula,bu3o9wzo9wlo4h,پُوصُولَه
pusula,bu3o9wzo9wlo4h||,پُوصُولَه‌
pusula,bu3wzlh,پوصله
pusula,bu3wzlh||,پوصله‌
pusula,bu3wzwle,پوصولا
pusula,bu3wzwlh,پوصوله
pusula,bu3wzwlh||,پوصوله‌
pusula,ywzlh||,یوصله‌
pusulanın,bu3wzlh||bo1ko3,پوصله‌نڭ
pusularına,bu3wzwlrybo1h,پوصولرینه
pusulasiyle,bu3wzwlesylh,پوصولاسیله
pusulası,bu3wzlesy,پوصلاسی
pusulasını,bu3wzlh||sbo1y,پوصله‌سنی
pusulasıyla,bu3wzwlesylh,پوصولاسیله
pusulayı şaşırmak,bu3wzlh bu2y so3eso3rmfo2,پوصله يی شاشرمق
pusulayı şaşırmak,bu3wzlh yy so3eso3rmfo2,پوصله یی شاشرمق
pusulayı,bu3wzlh||yy,پوصله‌یی
pusval,bu3wzwel,پوصوال
put,bu1bo2,بت
put,bu3wbo2,پوت
pute,bu3wbo2h||,پوته‌
puthane,bu1bo2xo1ebo1h||,بتخانه‌
puthane,bu3wbo2xo1ebo1h,پوتخانه
puthaneye,bu3wbo2xo1ebo1h||yh,پوتخانه‌یه
puthâne,bu1bo2xo1ebo1h,بتخانه
putkal,bu3wbo2fo2el,پوتقال
putlara,bu3wbo2lrh,پوتلره
putların,bu3wbo2lrko3,پوتلرڭ
putlarını,bu3wbo2lrybo1y,پوتلرینی
putlarıyla,bu3wbo2lrylh,پوتلریله
putperest,bu1bo2bu3rsbo2,بتپرست
putperest,bu3wbo2||bu3rsbo2,پوت‌پرست
putperestlik,bu3bo2bu3rsbo2lk,پتپرستلک
putperestlik,bu3wbo2||bu3rsbo2lk,پوت‌پرستلک
putperestliğe,bu3wbo2||bu3rsbo2lko7h,پوت‌پرستلگه
putperestliği,bu3wbo2||bu3rsbo2lko7y,پوت‌پرستلگی
putperestliğinin,bu3wbo2||bu3rsbo2lko7bo1ko3,پوت‌پرستلگنڭ
putu,bu3wbo2y,پوتی
putunu,bu3wbo2bo1y,پوتنی
puyan,bu3wyebo1,پویان
puziş,bu3wro1so3,پوزش
puş,bu3wso3,پوش
puşide,bu3wso3ydh||,پوشیده‌
pâ,bu3e,پا
pâbend,bu3ebu1bo1d,پابند
pâbercâ,bu3ebu1rxu1e,پابرجا
pâberikâb,bu3ebu1rkebu1,پابرکاب
pâbeste,bu3ebu1sbo2h,پابسته
pâbirehne,bu3ebu1rhbo1h,پابرهنه
pâbûsî,bu3ebu1wsy,پابوسی
pâcâme,bu3exu1emh,پاجامه
pâdişah,bu3edso3eh,پادشاه
pâdişahı,bu3edso3ehy,پادشاهی
pâdişahımızın,bu3edso3ehmro1ko3,پادشاهمزڭ
pâdişahın,bu3edso3ehko3,پادشاهڭ
pâdişahından,bu3edso3ehbo1dbo1,پادشاهندن
pâdişahının,bu3edso3ehbo1ko3,پادشاهنڭ
pâdişâh,bu3edso3eh,پادشاه
pâdişâh-i âlî,bu3o4edu4so3o4ehu4 ao4elu4bu2,پَادِشَاهِ عَالِي
pâdişâh-ı âlî,bu3o4edu4so3o4ehu4 ao4elu4bu2,پَادِشَاهِ عَالِي
pâdişâha,bu3edso3ehh,پادشاهه
pâdişâhlık etmek,bu3edso3ehlfo2 e,پادشاهلق ا
pâdişâhlık,bu3edso3ehlfo2,پادشاهلق
pâdişâhâne,bu3edso3ehebo1h,پادشاهانه
pâdişâhımız efendimiz,bu3edso3ehmro1efo1bo1dbu2mro1,پادشاهمزافنديمز
pâdzehr,bu3edro1hr,پادزهر
pâdşâh,bu3edso3eh,پادشاه
pâdşâhî,bu3edso3ehy,پادشاهی
pâk'e,bu3ekh,پاکه
pâk'in,bu3ekko3,پاکڭ
pâk,bu3ek,پاک
pâk,bu3o4eko0,پَاکْ
pâk-dâmenlik,bu3ekdembo1lk,پاکدامنلک
pâk-i,bu3eku4,پاکِ
pâkbâz,bu3ekbu1ero1,پاکباز
pâkdâmen,bu3ek dembo1,پاک دامن
pâki,bu3eky,پاکی
pâkidir,bu3ekydr,پاکیدر
pâkinde,bu3ekbo1dh,پاکنده
pâkinden,bu3ekbo1dbo1,پاکندن
pâkini,bu3ekbo1y,پاکنی
pâkinin,bu3ekbo1ko3,پاکنڭ
pâkinizi,bu3ekko3ro1y,پاکڭزی
pâklık,bu3eklk,پاکلک
pâklığı,bu3eklko7y,پاکلگی
pâktır,bu3ekdr,پاکدر
pâkîze,bu3ekbu2ro1h,پاکيزه
pâlân,bu3elebo1,پالان
pâlânduz,bu3elebo1 dwro1,پالان دوز
pâlûze,bu3elwro1h,پالوزه
pâmâl,bu3emel,پامال
pâpûş,bu3ebu3wso3,پاپوش
pâre (para),bu3erh,پاره
pâre pâre,bu3erh bu3erh,پاره پاره
pâre,bu3erh,پاره
pârelemek,bu3erh lmk,پاره لمک
pârelenmek,bu3erh lbo1mk,پاره لنمک
pârsâ,bu3erse,پارسا
pârsî,bu3ersy,پارسی
pârçe,bu3erxu3h,پارچه
pâsban,bu3esbu1ebo1,پاسبان
pây,bu3ey,پای
pây-i taht,bu3ebu2bo2xo1bo2,پايتخت
pây-i,bu3eyu4,پایِ
pây-mâl,bu3eymel,پایمال
pâyan,bu3eyebo1,پایان
pâyansız,bu3ebu2ebo1sro1,پايانسز
pâyansız,bu3eyebo1sro1,پایانسز
pâyanı,bu3eyebo1y,پایانی
pâybend,bu3eybu1bo1d,پایبند
pâybûsî,bu3eybu1wsy,پایبوسی
pâydâr etmek,bu3ebu2dere,پايدارا
pâydâr olmak,bu3ebu2derew,پايداراو
pâydâr,bu3ebu2der,پايدار
pâydâr,bu3eyder,پایدار
pâye,bu3ebu2h,پايه
pâye,bu3eyh,پایه
pâyende vurmak,bu3ebu2bo1dh ewrmfo2,پاينده اورمق
pâyende,bu3ebu2bo1dh,پاينده
pâyende,bu3eybo1dh,پاینده
pâyesini,bu3eyh||sbo1y,پایه‌سنی
pâyidar,bu3eyder,پایدار
pâyidâr,bu3ebu2der,پايدار
pâyimal,bu3eymel,پایمال
pâyimâl,bu3ebu2mel,پايمال
pâyin,bu3eybu2bo1,پایين
pâyine,bu3eybo1h,پاینه
pâyinize,bu3eyko3ro1h,پایڭزه
pâyitaht,bu3ebu2bo2xo1bo2,پايتخت
pâyitaht,bu3eybo2xo1bo2,پایتخت
pâyitaht,bu3o4ebu2u4 bo2o4xo1o0bo2o0,پَايِ تَخْتْ
pâykûb,bu3eykwbu1,پایکوب
pâyân,bu3ebu2ebo1,پايان
pâyân,bu3eyebo1,پایان
pâyân,bu3o4ebu2o4ebo1o0,پَايَانْ
pâyânsız,bu3eyebo1sro1,پایانسز
pâyîz,bu3eybu2ro1,پایيز
pâzâr,bu1ero1er,بازار
pâçavra,bu3exu3ewre,پاچاورا
pâçe,bu3exu3h,پاچه
pâş,bu3eso3,پاش
pîl,bu3bu2l,پيل
pînedûzlükten,bu3ybo1h||dwro1lfo2dbo1,پینه‌دوزلقدن
pîr,bu3bu2r,پير
pîr,bu3bu2ro0,پيرْ
pîr,bu3yr,پیر
pîr-i,bu3yru4,پیرِ
pîrahen,bu3bu2rehbo1,پيراهن
pîran,bu3yrebo1,پیران
pîrezen,bu3bu2rh ro1bo1,پيره زن
pîridir,bu3yrydr,پیریدر
pîrleri,bu3yrlry,پیرلری
pîrâye,bu3bu2reyh,پيرایه
pîr–i,bu3yru4,پیرِ
pîç ü tâb etmek,bu3bu2xu3 wbo2ebu1 e,پيچ وتاب ا
pîç ü tâb,bu3bu2xu3 w bo2ebu1,پيچ و تاب
pîç,bu3bu2xu3,پيچ
pîş,bu3bu2so3,پيش
pîş-i,bu3yso3u4,پیشِ
pîşdar,bu3bu2so3der,پيشدار
pîşdâr,bu3bu2so3o0do4ero0,پيشْدَارْ
pîşe,bu3bu2so3h,پيشه
pîşe,bu3u4bu2so3o4h,پِيشَه
pîşekâr,bu3bu2so3h  ker,پيشه  کار
pîşekâr,bu3bu2so3h ker,پيشه کار
pîşgâh,bu3bu2so3ko7eh,پيشگاه
pîşgîr,bu3bu2so3ko7bu2r,پيشگير
pîşin (peşin) para,bu3bu2so3bu2bo1 bu3erh,پيشين پاره
pîşin vermek,bu3bu2so3bu2bo1 wbu2rmk,پيشين ويرمک
pîşkeş,bu3bu2so3kso3,پيشکش
pîşva,bu3bu2so3we,پيشوا
pîşânî,bu3bu2so3ebo1y,پيشانی
pîşîn,bu3bu2so3bu2bo1,پيشين
pörsü,bu3wrsw,پورسو
pörsük,bu3wrswk,پورسوک
pörsümek,bu3wrswmk,پورسومک
pörsüt,bu3wrswbo2,پورسوت
pörsütmek,bu3wrswbo2mk,پورسوتمک
pösteki,bu3wsbo2ky,پوستکی
pûd,bu3wd,پود
pûlâd,bu3wled,پولاد
pûr,bu3wr,پور
pûte,bu3wbo2h,پوته
pûyan,bu3wyebo1,پویان
pûyân,bu3wyebo1,پویان
pûziş,bu3wro1so3,پوزش
pûş,bu3wso3,پوش
pûşide,bu3wso3ydh,پوشیده
pûşîde,bu3wso3bu2dh,پوشيده
püf,bu3wfo1,پوف
püfürpüfür,bu3wfo1wrbu3wfo1wr,پوفورپوفور
pülverizatör,bu3wlwh<>ryro1ebo2wr,پولوه‌ریزاتور
pülverizatör,bu3wlwh||rbu2ro1ebo2wr,پولوه‌ريزاتور
pülümür,bu3lwmr,پلومر
pür,bu3r,پر
pür-alîl,bu3ralyl,پرعلیل
pür-cemal,bu3rxu1mel,پرجمال
pür-emvat,bu3reo5mwebo2,پرأموات
pür-emvatı,bu3reo5mwebo2y,پرأمواتی
pür-envârın,bu3reo5bo1werko3,پرأنوارڭ
pür-envârından,bu3reo5bo1werbo1dbo1,پرأنوارندن
pür-envârının,bu3reo5bo1werybo1ko3,پرأنوارینڭ
pür-hatar,bu3o9ro0 xo1o4to4ro0,پُرْ خَطَرْ
pür-hatar,bu3rxo1tr,پرخطر
pür-hatarkâr,bu3rxo1trker,پرخطرکار
pür-hikmettir,bu3rxkmbo2dr,پرحکمتدر
pür-iştiyak,bu3reu5so3bo2yefo2,پرإشتیاق
pür-kemal,bu3rkmel,پرکمال
pür-kusur,bu3rfo2zwr,پرقصور
pür-kusura,bu3rfo2zwrh,پرقصوره
pür-kusurlukta,bu3rfo2zwrlfo2dh,پرقصورلقده
pür-kusurun,bu3rfo2zwrko3,پرقصورڭ
pür-maânî,bu3rmaebo1y,پرمعانی
pür-meal,bu3rmyo5eo6l,پرمئآل
pür-merak,bu3o9ro0mo4ro4efo2o0,پُرْمَرَاقْ
pür-merak,bu3rmrefo2,پرمراق
pür-merâk,bu3o9ro0mo4ro4efo2o0,پُرْمَرَاقْ
pür-mesaib,bu3rmzeyo5bu1,پرمصائب
pür-niyazî,bu3rbo1yero1y,پرنیازی
pür-nur,bu3rbo1wr,پرنور
pür-nurlarını,bu3rbo1wrlrybo1y,پرنورلرینی
pür-nâz,bu3rbo1ero1,پرناز
pür-nâzı,bu3rbo1ero1y,پرنازی
pür-rahm,bu3rrxm,پررحم
pür-seyyal,bu3o9ro0syo8el,پُرْسیّال
pür-taksir,bu3rbo2fo2zyr,پرتقصیر
pür-taksiri,bu3rbo2fo2zyry,پرتقصیری
pür-telaş,bu3o9ro0bo2leso3,پُرْتلاش
pür-zünub,bu3rdo1bo1wbu1,پرذنوب
pür-ümid,bu3reo9myd,پراُمید
pür-şer beşer,bu3o9ro0 so3o4ro0 bu1o4so3o4ro0,پُرْ شَرْ بَشَرْ
pür-şer,bu3rso3r,پرشر
pür-şerr,bu3rso3ro8,پرشرّ
pürcemal,bu3rxu1mel,پرجمال
püre,bu3wrh,پوره
püre,bu3wrh||,پوره‌
pürgatif,bu3wrao1ebo2bu2fo1,پورغاتيف
pürgatif,bu3wrao1ebo2yfo1,پورغاتیف
pürheves,bu3rhws,پرهوس
pürhiddet,bu3o9rxdo8bo2,پُرحدّت
pürhun,bu3rxo1wbo1,پرخون
pürhûn,bu3rxo1wbo1,پرخون
pürkemal,bu3rkmel,پرکمال
pürkemâl,bu3rkmel,پرکمال
pürkusur,bu3rfo2zwr,پرقصور
pürkusuru,bu3rfo2zwry,پرقصوری
pürmelalin,bu3rmlelko3,پرملالڭ
pürmelâli,bu3rmlely,پرملالی
pürmerak,bu3rmrefo2,پرمراق
pürneval,bu3rbo1wel,پرنوال
pürniyazî,bu3rbo1yero1y,پرنیازی
pürnur,bu3rbo1wr,پرنور
pürnur-u,bu3rbo1wru4,پرنورِ
pürnura,bu3rbo1wrh,پرنوره
pürnurlarınızda,bu3rbo1wrlryko3ro1dh,پرنورلریڭزده
pürnuru,bu3rbo1wry,پرنوری
pürnurun,bu3rbo1wrko3,پرنورڭ
pürnârız,bu3rbo1erro1,پرنارز
pürnâzı,bu3rbo1ero1y,پرنازی
pürsevda,bu3rswde,پرسودا
pürsiş,bu3rsso3,پرسش
pürsükut,bu3rskwbo2,پرسکوت
pürsükût,bu3rskwbo2,پرسکوت
pürtaksir,bu3rbo2fo2zyr,پرتقصیر
pürtük,bu3wrbo2wk,پورتوک
pürvesvas,bu3rwswes,پروسواس
pürz,bu3rro1,پرز
pürüz,bu3wrwro1,پوروز
pürüzlen,bu3wrwro1lh<>bo1,پوروزله‌ن
pürüzlenmek,bu3wrwro1lh<>bo1mk,پوروزله‌نمک
pürüzlenmek,bu3wrwro1lh||bo1mk,پوروزله‌نمک
pürüzlü,bu3rwro1lw,پروزلو
pürüzlü,bu3wrwro1lw,پوروزلو
pürüzsüz,bu3o9ro9ro1o0sro1,پُرُزْسز
pürüzsüz,bu3wrwro1sro1,پوروزسز
pürşanı,bu3rso3ebo1y,پرشانی
pürşaşaa,bu3rso3aso3ah,پرشعشعه
pürşer,bu3rso3r,پرشر
püser,bu3sr,پسر
püskül,bu3wskl,پوسکل
püskül,bu3wskwl,پوسکول
püskülcükler,bu3wskwlxu1klr,پوسکولجکلر
püskülleri,bu3wskwllry,پوسکوللری
püsküllü,bu3wskwlly,پوسکوللی
püskülsüz,bu3wskwlsro1,پوسکولسز
püskür,bu3wskwr,پوسکور
püsküren,bu3wskwrbo1,پوسکورن
püskürme,bu3wskwrmh,پوسکورمه
püskürme,bu3wskwrmh||,پوسکورمه‌
püskürmek,bu3wskwrmk,پوسکورمک
püskürmesi,bu3wskwrmh||sy,پوسکورمه‌سی
püskürt,bu3wskwrbo2,پوسکورت
püskürtmek,bu3wskwrbo2mk,پوسکورتمک
pütürge,bu3bo2wrkh||,پتورکه‌
püşt,bu3so3bo2,پشت
püştiban,bu3so3bo2ybu1ebo1,پشتیبان
püştibane,bu3so3bo2ybu1ebo1h,پشتیبانه
püştîban,bu3so3bo2bu2bu1ebo1,پشتيبان
pıhtı,bu3xo1bo2y,پختی
pıhtılan,bu3xo1bo2ylebo1,پختیلان
pıhtılanma,bu3xo1bo2lebo1mh,پختلانمه
pıhtılanma,bu3xo1bo2lebo1mh||,پختلانمه‌
pıhtılanmak,bu3xo1bo2bu2lebo1mfo2,پختيلانمق
pıhtılanmak,bu3xo1bo2ylebo1mfo2,پختیلانمق
pıhtılat,bu3xo1bo2ylebo2,پختیلات
pıhtılatmak,bu3xo1bo2bu2lebo2mfo2,پختيلاتمق
pıhtılatmak,bu3xo1bo2ylebo2mfo2,پختیلاتمق
pıhtılaş,bu3xo1bo2yleso3,پختیلاش
pıhtılaşmak,bu3xo1bo2bu2leso3mfo2,پختيلاشمق
pıhtılaşmak,bu3xo1bo2yleso3mfo2,پختیلاشمق
pıhtılaştır,bu3xo1bo2yleso3dyr,پختیلاشدیر
pıhtılaştırmak,bu3xo1bo2bu2leso3dbu2rmfo2,پختيلاشديرمق
pıhtılaştırmak,bu3xo1bo2yleso3dyrmfo2,پختیلاشدیرمق
pılıpırtı,bu3bu2ly||bu3bu2rbo2y,پيلی‌پيرتی
pılıpırtı,bu3yly<>bu3yrbo2y,پیلی‌پیرتی
pınar başı,bu3bu2ker bu1eso3y,پيکار باشی
pınar başı,bu3yker bu1eso3y,پیکار باشی
pınar,bu3bu2ker,پيکار
pınar,bu3bu2ko3er,پيڭار
pınar,bu3wko3er,پوڭار
pınar,bu3yker,پیکار
