
c,xu1,ج
cevâmid,xu1wemd,جوامد
cevâmîs,xu1wembu2s,جواميس
cevân,xu1webo1,جوان
cevânib,xu1webo1bu1,جوانب
cevârî,xu1wery,جواری
cevâz vermek,xu1wero1 wbu2rmk,جواز ويرمک
cevâz,xu1o4wo4ero1o0,جَوَازْ
cevâz,xu1wero1,جواز
cevîn,xu1wybo1,جوین
cevşen'den,xu1wso3bo1dbo1,جوشندن
cevşen'i,xu1wso3bo1y,جوشنی
cevşen'in,xu1wso3bo1ko3,جوشنڭ
cevşen,xu1wso3bo1,جوشن
cevşen-ül,xu1wso3bo1 el,جوشن ال
cevşeniye-i,xu1wso3bo1yh||u4,جوشنیه‌ِ
cevşeniyeyi,xu1wso3bo1yh||yy,جوشنیه‌یی
ceyb,xu1bu2bu1,جيب
ceyb,xu1ybu1,جیب
ceyb-i,xu1ybu1u4,جیبِ
ceyhan,xu1yxebo1,جیحان
ceylan'a,xu1ylebo1h,جیلانه
ceylan'ı,xu1ylebo1y,جیلانی
ceylan'ın,xu1ylebo1ko3,جیلانڭ
ceylan,xu1ylebo1,جیلان
ceylan,xu1yrebo1,جیران
ceylana,xu1ylebo1h,جیلانه
ceylanı,xu1ylebo1y,جیلانی
ceylanın,xu1ylebo1ko3,جیلانڭ
ceylân,xu1bu2rebo1,جيران
ceyran (ceylan),xu1bu2rebo1,جيران
ceyran (ceylan),xu1yrebo1,جیران
ceyran,xu1yrebo1,جیران
ceyrân,xu1bu2rebo1,جيران
ceyyid,xu1bu2d,جيد
ceyyid,xu1yd,جید
ceyş,xu1bu2s,جيس
ceyş,xu1ys,جیس
ceyş,xu1yso3,جیش
cez',xu1ro1a,جزع
cez'a,xu1ro1ah,جزعه
ceza',xu1o4u4ro1o4ao0,جَِزَعْ
ceza',xu1ro1a,جزع
ceza,xu1o4ro1o4e,جَزَا
ceza,xu1ro1e,جزا
ceza,xu1ro1ec,جزاء
ceza-i,xu1ro1ecu4,جزاءِ
ceza-yi amel,xu1o4ro1o4eyu4 ao4mo4lo0,جَزَایِ عَمَلْ
ceza-yı amel,xu1o4ro1o4eyu4 ao4mo4lo0,جَزَایِ عَمَلْ
ceza-yı,xu1ro1eyu4,جزایِ
ceza-üş,xu1ro1ec el,جزاء ال
cezada,xu1ro1edh,جزاده
cezadan,xu1ro1edbo1,جزادن
cezadır,xu1ro1edr,جزادر
cezaen,xu1ro1eco44,جزاءً
cezaevi'nde,xu1ro1e eo5wbo1dh,جزا أونده
cezaevinde,xu1ro1e eo5wbo1dh,جزا أونده
cezaevine,xu1ro1e eo5wybo1h,جزا أوینه
cezaevleri'nde,xu1ro1e eo5wlrbo1dh,جزا أولرنده
cezahümüllahu,xu1ro1ehm e||ellh,جزاهم ا‌الله
cezair,xu1ro1ebo5r,جزائر
cezalan,xu1ro1elebo1,جزالان
cezalandır,xu1ro1elebo1dyr,جزالاندیر
cezalandıracak,xu1ro1elebo1dyrh||xu1fo2,جزالاندیره‌جق
cezalandıran,xu1ro1elebo1dyrebo1,جزالاندیران
cezalandırdılar,xu1ro1elebo1dyrdylr,جزالاندیردیلر
cezalandırmak,xu1ro1elebo1dyrmfo2,جزالاندیرمق
cezalandırmaya,xu1ro1elebo1dyrmao1h,جزالاندیرمغه
cezalandırmaz,xu1ro1elebo1dyrmero1,جزالاندیرماز
cezalandırmağa,xu1ro1elebo1dyrmao1h,جزالاندیرمغه
cezalandırıldım,xu1ro1elebo1dyryldm,جزالاندیریلدم
cezalandırılmaklığımın,xu1ro1elebo1dyrylmfo2lao1mko3,جزالاندیریلمقلغمڭ
cezalandırılmamı,xu1ro1elebo1dyrylmemy,جزالاندیریلمامی
cezalandırılsa,xu1ro1elebo1dyrylsh,جزالاندیریلسه
cezalandırılır,xu1ro1elebo1dyrylyr,جزالاندیریلیر
cezalandırınız,xu1ro1elebo1dyryko3ro1,جزالاندیریڭز
cezalandırır,xu1ro1elebo1dyrr,جزالاندیرر
cezalandırıyor,xu1ro1elebo1dyryywr,جزالاندیرییور
cezalanmak,xu1ro1elebo1mfo2,جزالانمق
cezalanmasına,xu1ro1elebo1mesbo1h,جزالانماسنه
cezalar,xu1ro1elr,جزالر
cezalardan,xu1ro1elrdbo1,جزالردن
cezalarla,xu1ro1elrlh,جزالرله
cezaları,xu1ro1elry,جزالری
cezalarına,xu1ro1elrybo1h,جزالرینه
cezalarından,xu1ro1elrbo1dbo1,جزالرندن
cezalarını,xu1ro1elrybo1y,جزالرینی
cezalarının,xu1ro1elrybo1ko3,جزالرینڭ
cezalarınız,xu1ro1elryko3ro1,جزالریڭز
cezalarıyla,xu1ro1elrylh,جزالریله
cezalet,xu1ro1elbo2,جزالت
cezalet-i,xu1ro1elbo2u4,جزالتِ
cezaleti,xu1ro1elbo2y,جزالتی
cezaletin,xu1ro1elbo2ko3,جزالتڭ
cezaletinden,xu1ro1elbo2bo1dbo1,جزالتندن
cezaletine,xu1ro1elbo2bo1h,جزالتنه
cezaletinin,xu1ro1elbo2bo1ko3,جزالتنڭ
cezaletle,xu1ro1elbo2lh,جزالتله
cezaletler,xu1ro1elbo2lr,جزالتلر
cezaletli,xu1ro1elbo2ly,جزالتلی
cezaletlidir,xu1ro1elbo2lydr,جزالتلیدر
cezalettir,xu1ro1elbo2dr,جزالتدر
cezalılar,xu1ro1elylr,جزالیلر
cezamın,xu1ro1emko3,جزامڭ
cezamıza,xu1ro1emro1h,جزامزه
cezamızı,xu1ro1emro1y,جزامزی
cezanın,xu1ro1ebo1ko3,جزانڭ
cezanız,xu1ro1eko3ro1,جزاڭز
cezanıza,xu1ro1eko3ro1h,جزاڭزه
cezanızı,xu1ro1eko3ro1y,جزاڭزی
cezası,xu1ro1esy,جزاسی
cezasıdır,xu1ro1esydr,جزاسیدر
cezasına hükmetmek,xu1ro1esbo1h xkm e,جزاسنه حکم ا
cezasına,xu1ro1esbo1h,جزاسنه
cezasında,xu1ro1esbo1dh,جزاسنده
cezasından,xu1ro1esbo1dbo1,جزاسندن
cezasını vermek,xu1ro1esbo1y wyrmk,جزاسنی ویرمک
cezasını,xu1ro1esbo1y,جزاسنی
cezasının,xu1ro1esbo1ko3,جزاسنڭ
cezasıyla,xu1ro1esylh,جزاسیله
cezasız,xu1ro1esro1,جزاسز
cezaya,xu1ro1ah,جزعه
cezaya,xu1ro1eyh,جزایه
cezayinakdi,xu1ro1ey<>bo1fo2dy,جزای‌نقدی
cezayir,xu1ro1eyo5r,جزائر
cezayir,xu1ro1eyr,جزایر
cezayı,xu1ro1eyy,جزایی
cezaî,xu1ro1eyo5y,جزائی
cezb etmek,xu1do1bu1 e,جذب ا
cezb etmek,xu1ro1bu1 e,جزب ا
cezb,xu1do1bu1,جذب
cezb,xu1o4do1o0bu1o0,جَذْبْ
cezb-i,xu1do1bu1u4,جذبِ
cezbe,xu1do1bu1h,جذبه
cezbe,xu1do1bu1h||,جذبه‌
cezbe,xu1o4do1o0bu1o4h,جَذْبَه
cezbe,xu1o4do1o0bu1o4h||,جَذْبَه‌
cezbe-edâ,xu1do1bu1h||eo5de,جذبه‌أدا
cezbe-i,xu1do1bu1h||u4,جذبه‌ِ
cezbedarane,xu1do1bu1h||derebo1h,جذبه‌دارانه
cezbedarâne,xu1do1bu1h||derebo1h,جذبه‌دارانه
cezbedebilsin,xu1do1bu1 eydh||bu1ylsybo1,جذب ایده‌بیلسین
cezbeden,xu1do1bu1 eydbo1,جذب ایدن
cezbeder,xu1do1bu1 eydr,جذب ایدر
cezbedici,xu1do1bu1 eydyxu1y,جذب ایدیجی
cezbedip,xu1do1bu1 eydwbu1,جذب ایدوب
cezbedir,xu1do1bu1h||dr,جذبه‌در
cezbediyor,xu1do1bu1 eydyywr,جذب ایدییور
cezbeeda,xu1do1bu1h||eo5de,جذبه‌أدا
cezbekârane,xu1do1bu1h||kerebo1h,جذبه‌کارانه
cezbekâranede,xu1do1bu1h||kerebo1h||dh,جذبه‌کارانه‌ده
cezbelendiriyor,xu1do1bu1h||lbo1dyryywr,جذبه‌لندیرییور
cezbeler,xu1do1bu1h||lr,جذبه‌لر
cezbelerini,xu1do1bu1h||lrybo1y,جذبه‌لرینی
cezbeli,xu1do1bu1h||ly,جذبه‌لی
cezbesi,xu1do1bu1h||sy,جذبه‌سی
cezbesinde,xu1do1bu1h||sbo1dh,جذبه‌سنده
cezbesiyledir,xu1do1bu1h||sylh||dr,جذبه‌سیله‌در
cezbetmek,xu1do1bu1 eybo2mk,جذب ایتمک
cezbetmemek,xu1do1bu1 eybo2mh||mk,جذب ایتمه‌مک
cezbetmesi,xu1do1bu1 eybo2msy,جذب ایتمسی
cezbetmiş,xu1do1bu1 eybo2mso3,جذب ایتمش
cezbettiren,xu1do1bu1 eybo2dyrbo1,جذب ایتدیرن
cezbeye,xu1do1bu1h||yh,جذبه‌یه
cezbi,xu1do1bu1y,جذبی
cezbini,xu1do1bu1bo1y,جذبنی
cezbiyle,xu1do1bu1ylh,جذبیله
cezbiyledir,xu1do1bu1ylh||dr,جذبیله‌در
cezer,xu1ro1r,جزر
cezim,xu1ro1m,جزم
cezir,xu1do1r,جذر
cezir,xu1ro1r,جزر
cezire'de,xu1ro1yrh||dh,جزیره‌ده
cezire'nin,xu1ro1yrh||bo1ko3,جزیره‌نڭ
cezire'ye,xu1ro1yrh||yh,جزیره‌یه
cezire,xu1o4ro1yro4h||,جَزیرَه‌
cezire,xu1ro1bu2rh,جزيره
cezire,xu1ro1yrh,جزیره
cezire,xu1ro1yrh||,جزیره‌
cezire-i,xu1ro1yrh||u4,جزیره‌ِ
cezirede,xu1ro1yrh||dh,جزیره‌ده
ceziredeki,xu1ro1yrh||dh||ky,جزیره‌ده‌کی
ceziresine,xu1ro1yrh||sbo1h,جزیره‌سنه
ceziret-i,xu1ro1yrho2u4,جزیرةِ
ceziret-ül,xu1ro1yrho2 el,جزیرة ال
cezireye,xu1ro1yrh||yh,جزیره‌یه
cezi̇re,xu1o4ro1yro4h||,جَزیرَه‌
cezi̇re,xu1ro1yrh||,جزیره‌
cezm,xu1o4ro1o0mo0,جَزْمْ
cezm,xu1ro1m,جزم
cezmederim,xu1ro1m eydrm,جزم ایدرم
cezmettiklerine,xu1ro1m eybo2dklrybo1h,جزم ایتدکلرینه
cezmettim,xu1ro1m eybo2dm,جزم ایتدم
cezmettiğim,xu1ro1m eybo2dyko7m,جزم ایتدیگم
cezmiyet,xu1ro1mybo2,جزمیت
cezr u medd,xu1do1rwmd,جذرومد
cezr,xu1do1r,جذر
cezr,xu1ro1r,جزر
cezr-i asamm,xu1do1rezm,جذراصم
cezve,xu1ro1wh,جزوه
cezve,xu1ro1wh||,جزوه‌
cezzab,xu1do1ebu1,جذاب
cezzâb,xu1do1ebu1,جذاب
cezâ,xu1o4ro1o4e,جَزَا
cezâ,xu1ro1e,جزا
cezâ,xu1ro1ec,جزاء
cezâ-yi amel,xu1o4ro1o4ebu2u4 ao4mo4lo0,جَزَايِ عَمَلْ
cezâ-yı amel,xu1o4ro1o4ebu2u4 ao4mo4lo0,جَزَايِ عَمَلْ
cezâir,xu1ro1ebo5r,جزائر
cezâlandırmak,xu1ro1elebo1dyrmfo2,جزالاندیرمق
cezâlanmak,xu1ro1elebo1mfo2,جزالانمق
cezâlet,xu1ro1elbo2,جزالت
cezâsına hükmetmek,xu1ro1esbo1h xkm e,جزاسنه حکم ا
cezâsını vermek,xu1ro1esbo1y wbu2rmk,جزاسنی ويرمک
cezâya,xu1ro1eyh,جزایه
cezâyinakdi,xu1ro1ey||bo1fo2dy,جزای‌نقدی
cezîl,xu1ro1yl,جزیل
cezîre,xu1o4ro1bu2ro4h,جَزيرَه
cezîre,xu1ro1bu2rh,جزيره
cezîre,xu1ro1yrh,جزیره
cezîretül,xu1ro1yrho2 el,جزیرة ال
ceğiz,xu1ko7ro1,جگز
ci,xu1y,جی
cibal,xu1bu1el,جبال
cibal-i,xu1bu1elu4,جبالِ
cibalde,xu1bu1eldh,جبالده
cibalden,xu1bu1eldbo1,جبالدن
cibali,xu1bu1ely,جبالی
cibalin,xu1bu1elko3,جبالڭ
cibalinde,xu1bu1elbo1dh,جبالنده
cibaline,xu1bu1elbo1h,جبالنه
cibalîden,xu1bu1elydbo1,جبالیدن
cibillet,xu1bu1lbo2,جبلت
cibilli,xu1bu1ly,جبلی
cibilliyet,xu1bu1lbu2bo2,جبليت
cibilliyet,xu1bu1lybo2,جبلیت
cibilliyet,xu1u4bu1u4lu4o8bu2o4bo2o0,جِبِلِّيَتْ
cibilliyet,xu1u4bu1u4lu4o8yo4bo2o0,جِبِلِّیَتْ
cibilliyeten,xu1bu1lo8yho2o44,جبلّیةً
cibilliyeti,xu1bu1lo8ybo2y,جبلّیتی
cibilliyetsiz,xu1bu1lbo2sro1,جبلتسز
cibillî,xu1bu1lo8y,جبلّی
cibillî,xu1bu1ly,جبلی
cibinlik,xu1bu1ybo1lk,جبینلک
cibril'den,xu1bu1ryldbo1,جبریلدن
cibril'i,xu1bu1ryly,جبریلی
cibril'in,xu1bu1rylko3,جبریلڭ
cibril,xu1bu1ryl,جبریل
cibril-i,xu1bu1rylu4,جبریلِ
cibâl,xu1bu1el,جبال
cici,xu1yxu1y,جیجی
cicili,xu1bu2xu1bu2lw,جيجيلو
cicili,xu1yxu1ylw,جیجیلو
cicili,xu1yxu1yly,جیجیلی
cidal,xu1del,جدال
cidal,xu1u4do4elo0,جِدَالْ
cidal-i,xu1delu4,جدالِ
cidalcu,xu1del xu1w,جدال جو
cidalde,xu1deldh,جدالده
cidaldedir,xu1deldh||dr,جدالده‌در
cidaldeyiz,xu1deldh||yro1,جدالده‌یز
cidaldir,xu1deldr,جدالدر
cidali,xu1dely,جدالی
cidalin,xu1delko3,جدالڭ
cidar,xu1der,جدار
cidar-ı,xu1deru4,جدارِ
cidden,xu1de,جدا
cidden,xu1deo44,جداً
cidden,xu1do8o44e,جدًّا
ciddi,xu1do8y,جدّی
ciddi,xu1dy,جدی
ciddiyat,xu1do8yebo2,جدّیات
ciddiyede,xu1do8yh||dh,جدّیه‌ده
ciddiyet,xu1do8ybo2,جدّیت
ciddiyet,xu1dybo2,جدیت
ciddiyete,xu1do8ybo2h,جدّیته
ciddiyeti,xu1do8ybo2y,جدّیتی
ciddiyetinde,xu1do8ybo2bo1dh,جدّیتنده
ciddiyetine,xu1do8ybo2bo1h,جدّیتنه
ciddiyetini,xu1do8ybo2bo1y,جدّیتنی
ciddiyetiniz,xu1do8ybo2ko3ro1,جدّیتڭز
ciddiyetinizden,xu1do8ybo2ko3ro1dbo1,جدّیتڭزدن
ciddiyetiyle,xu1do8ybo2ylh,جدّیتیله
ciddiyetle,xu1do8ybo2lh,جدّیتله
ciddiyetledir,xu1do8ybo2lh||dr,جدّیتله‌در
ciddiyetlerinde,xu1do8ybo2lrbo1dh,جدّیتلرنده
ciddiyetlerinden,xu1do8ybo2lrbo1dbo1,جدّیتلرندن
ciddiyetlerini,xu1do8ybo2lrybo1y,جدّیتلرینی
ciddiyette,xu1do8ybo2dh,جدّیتده
ciddiyettir,xu1do8ybo2dr,جدّیتدر
ciddiyyet,xu1dybo2,جدیت
ciddî,xu1do8y,جدّی
ciddî,xu1dy,جدی
ciddîleşmiş,xu1do8ylso3mso3,جدّیلشمش
ciddîsi,xu1do8ysy,جدّیسی
cide,xu1ydh||,جیده‌
cidâl,xu1del,جدال
cidâl,xu1u4do4elo0,جِدَالْ
cidâlcû,xu1del xu1w,جدال جو
cidâlin,xu1delko3,جدالڭ
cidâr,xu1der,جدار
cife,xu1u4yfo1o4h||,جِیفَه‌
cife,xu1yfo1h||,جیفه‌
cifir,xu1fo1r,جفر
cifir,xu1u4fo1u4ro0,جِفِرْ
cifirce,xu1fo1rxu1h,جفرجه
cifirde,xu1fo1rdh,جفرده
cifirle,xu1fo1rlh,جفرله
cifirli,xu1fo1rly,جفرلی
cifr,xu1fo1r,جفر
cifre,xu1fo1rh,جفره
cifre,xu1fo1rh||,جفره‌
cifren,xu1fo1ro44e,جفرًا
cifri,xu1fo1ry,جفری
cifrin,xu1fo1rko3,جفرڭ
cifriye,xu1fo1ryh,جفریه
cifriyesi,xu1fo1ryh||sy,جفریه‌سی
cifriyle,xu1fo1rylh,جفریله
cifrî,xu1fo1ry,جفری
cifrîsi,xu1fo1rysy,جفریسی
cifrîsinde,xu1fo1rysbo1dh,جفریسنده
cifrîsine,xu1fo1rysbo1h,جفریسنه
cifrîsiyle,xu1fo1rysylh,جفریسیله
cifrîyle,xu1fo1rylh,جفریله
ciger,xu1ko7r,جگر
cigerguşe,xu1ko7rko7wso3h||,جگرگوشه‌
cigergûşe,xu1ko7rko7wso3h,جگرگوشه
cigerpare,xu1ko7rbu3erh||,جگرپاره‌
cigerpâre,xu1ko7rbu3erh,جگرپاره
cigersuz,xu1ko7rswro1,جگرسوز
cigersûz,xu1ko7rswro1,جگرسوز
cihad,xu1hed,جهاد
cihad-ı,xu1hedu4,جهادِ
cihada,xu1hedh,جهاده
cihadda,xu1heddh,جهادده
cihaddaki,xu1heddh||ky,جهادده‌کی
cihaddan,xu1heddbo1,جهاددن
cihaddır,xu1heddr,جهاددر
cihadiye-i,xu1hedyh||u4,جهادیه‌ِ
cihadiyem,xu1hedyh||m,جهادیه‌م
cihadiyeyi,xu1hedyh||yy,جهادیه‌یی
cihadı,xu1hedy,جهادی
cihadıdır,xu1hedydr,جهادیدر
cihadımız,xu1hedmro1,جهادمز
cihadın,xu1hedko3,جهادڭ
cihadında,xu1hedbo1dh,جهادنده
cihadınız,xu1hedyko3ro1,جهادیڭز
cihan,xu1hebo1,جهان
cihan-baha,xu1hebo1||bu1he,جهان‌بها
cihan-değer,xu1hebo1||dko7r,جهان‌دگر
cihan-pesendane,xu1hebo1||bu3sbo1debo1h,جهان‌پسندانه
cihan-ı,xu1hebo1u4,جهانِ
cihan-şümul,xu1hebo1||so3mwl,جهان‌شمول
cihana,xu1hebo1h,جهانه
cihanabad'a,xu1hebo1||eo6bu1edh,جهان‌آباده
cihanabad,xu1hebo1||eo6bu1ed,جهان‌آباد
cihanaferin,xu1hebo1 eo6fo1rybo1,جهان آفرین
cihanbaha,xu1hebo1||bu1he,جهان‌بها
cihanbahanın,xu1hebo1||bu1hebo1ko3,جهان‌بهانڭ
cihanbeyli,xu1hebo1<>bu1ko7ly,جهان‌بگلی
cihanda,xu1hebo1dh,جهانده
cihandaki,xu1hebo1dh||ky,جهانده‌کی
cihandan,xu1hebo1dbo1,جهاندن
cihandar,xu1hebo1der,جهاندار
cihandeğer,xu1hebo1||dko7r,جهان‌دگر
cihandide,xu1xo1ebo1 dydh||,جخان دیده‌
cihandîde,xu1xo1ebo1 dydh,جخان دیده
cihandır,xu1hebo1dr,جهاندر
cihangir,xu1hebo1ko7yr,جهانگیر
cihangir,xu1u4ho4ebo1o0ko7yr,جِهَانْگیر
cihangiri,xu1hebo1ko7yry,جهانگیری
cihangirler,xu1hebo1ko7yrlr,جهانگیرلر
cihangirlik,xu1hebo1ko7yrlk,جهانگیرلک
cihangîr,xu1hebo1ko7bu2r,جهانگير
cihangîr,xu1u4ho4ebo1o0ko7bu2r,جِهَانْگير
cihangîrî,xu1hebo1ko7bu2ry,جهانگيری
cihangüşa,xu1hebo1ko7so3e,جهانگشا
cihani,xu1hebo1y,جهانی
cihankıymet,xu1hebo1||fo2ymbo2,جهان‌قیمت
cihannüma,xu1hebo1 bo1me,جهان نما
cihannüma,xu1hebo1bo1me,جهاننما
cihannümâ,xu1hebo1bo1me,جهاننما
cihanpesend,xu1hebo1||bu3sbo1d,جهان‌پسند
cihanpesendane,xu1hebo1||bu3sbo1debo1h,جهان‌پسندانه
cihanî,xu1hebo1y,جهانی
cihanı,xu1hebo1y,جهانی
cihanın,xu1hebo1ko3,جهانڭ
cihanının,xu1hebo1bo1ko3,جهاننڭ
cihanşümul,xu1hebo1||so3mwl,جهان‌شمول
cihar,xu1her,جهار
cihar,xu3her,چهار
cihar-ı,xu1heru4,جهارِ
ciharen,xu1here,جهارا
ciharyar-ı,xu1her yeru4,جهار یارِ
cihat,xu1hebo2,جهات
cihat-ı,xu1hebo2u4,جهاتِ
cihattan,xu1hebo2dbo1,جهاتدن
cihatı,xu1hebo2y,جهاتی
cihatıyla,xu1hebo2ylh,جهاتیله
cihaz (çehiz),xu1hero1,جهاز
cihaz (çeyiz) vermek,xu1hero1wyrmk,جهازویرمک
cihaz,xu1hero1,جهاز
cihaz-ı,xu1hero1u4,جهازِ
cihazat,xu1hero1ebo2,جهازات
cihazat-ı,xu1hero1ebo2u4,جهازاتِ
cihazata,xu1hero1ebo2h,جهازاته
cihazatiyle,xu1hero1ebo2ylh,جهازاتیله
cihazatla,xu1hero1ebo2lh,جهازاتله
cihazatları,xu1hero1ebo2lry,جهازاتلری
cihazatlarında,xu1hero1ebo2lrbo1dh,جهازاتلرنده
cihazatlarını,xu1hero1ebo2lrybo1y,جهازاتلرینی
cihazatlı,xu1hero1ebo2ly,جهازاتلی
cihazatta,xu1hero1ebo2dh,جهازاتده
cihazatça,xu1hero1ebo2xu1h,جهازاتجه
cihazatı,xu1hero1ebo2y,جهازاتی
cihazatın,xu1hero1ebo2ko3,جهازاتڭ
cihazatına,xu1hero1ebo2bo1h,جهازاتنه
cihazatındaki,xu1hero1ebo2bo1dh||ky,جهازاتنده‌کی
cihazatından,xu1hero1ebo2bo1dbo1,جهازاتندن
cihazatını,xu1hero1ebo2bo1y,جهازاتنی
cihazatının,xu1hero1ebo2bo1ko3,جهازاتنڭ
cihazatınızı,xu1hero1ebo2ko3ro1y,جهازاتڭزی
cihazatıyla,xu1hero1ebo2ylh,جهازاتیله
cihazlanmış,xu1hero1lebo1mso3,جهازلانمش
cihazlar,xu1hero1lr,جهازلر
cihazlara,xu1hero1lrh,جهازلره
cihazlarla,xu1hero1lrlh,جهازلرله
cihazları,xu1hero1lry,جهازلری
cihazlarını,xu1hero1lrybo1y,جهازلرینی
cihazlarının,xu1hero1lrybo1ko3,جهازلرینڭ
cihazlarıyla,xu1hero1lrylh,جهازلریله
cihazâtını,xu1hero1ebo2bo1y,جهازاتنی
cihazı,xu1hero1y,جهازی
cihazını,xu1hero1ybo1y,جهازینی
cihet,xu1hbo2,جهت
cihet,xu1u4ho4bo2o0,جِهَتْ
cihet-i fark,xu1u4ho4bo2u4 fo1o4ro0fo2o0,جِهَتِ فَرْقْ
cihet-i lezzet,xu1u4ho4bo2u4 lo4do1o4o8bo2o0,جِهَتِ لَذَّتْ
cihet-i vahdet,xu1u4ho4bo2u4 wo4xo0do4bo2o0,جِهَتِ وَحْدَتْ
cihet-i,xu1hbo2u4,جهتِ
cihet-ül,xu1hbo2 el,جهت ال
cihet-ül-vahdetini,xu1hbo2 elwxdbo2bo1y,جهت الوحدتنی
cihete,xu1hbo2h,جهته
ciheti,xu1hbo2y,جهتی
cihetidir,xu1hbo2ydr,جهتیدر
cihetimde,xu1hbo2mdh,جهتمده
cihetimi,xu1hbo2my,جهتمی
cihetin,xu1hbo2ko3,جهتڭ
cihetinde,xu1hbo2bo1dh,جهتنده
cihetindedir,xu1hbo2bo1dh||dr,جهتنده‌در
cihetindeki,xu1hbo2bo1dh||ky,جهتنده‌کی
cihetinden,xu1hbo2bo1dbo1,جهتندن
cihetindendir,xu1hbo2bo1dbo1dr,جهتندندر
cihetine doğru,xu1hbo2bo1h twao1ry,جهتنه طوغری
cihetine,xu1hbo2bo1h,جهتنه
cihetini,xu1hbo2bo1y,جهتنی
cihetinin,xu1hbo2bo1ko3,جهتنڭ
cihetiyet,xu1hbo2ybo2,جهتیت
cihetiyle,xu1hbo2ylh,جهتیله
cihetiyle-,xu1hbo2ylh,جهتیله
cihetiyledir,xu1hbo2ylh||dr,جهتیله‌در
cihetle,xu1hbo2lh,جهتله
cihetledir,xu1hbo2lh||dr,جهتله‌در
cihetler,xu1hbo2lr,جهتلر
cihetlerde,xu1hbo2lrdh,جهتلرده
cihetlerden,xu1hbo2lrdbo1,جهتلردن
cihetlere,xu1hbo2lrh,جهتلره
cihetleri,xu1hbo2lry,جهتلری
cihetlerin,xu1hbo2lrko3,جهتلرڭ
cihetlerinden,xu1hbo2lrbo1dbo1,جهتلرندن
cihetlerine,xu1hbo2lrybo1h,جهتلرینه
cihetlerini,xu1hbo2lrybo1y,جهتلرینی
cihetleriyle,xu1hbo2lrylh,جهتلریله
cihetlerle,xu1hbo2lrlh,جهتلرله
cihette,xu1hbo2dh,جهتده
cihette-,xu1hbo2dh,جهتده
cihetteki,xu1hbo2dh||ky,جهتده‌کی
cihetten,xu1hbo2dbo1,جهتدن
cihettendir,xu1hbo2dbo1dr,جهتدندر
cihettir,xu1hbo2dr,جهتدر
cihetçe,xu1hbo2xu1h,جهتجه
cihâd,xu1hed,جهاد
cihâda,xu1hedh,جهاده
cihâddır,xu1heddr,جهاددر
cihân,xu1hebo1,جهان
cihâna,xu1hebo1h,جهانه
cihângüşâ,xu1hebo1ko7so3e,جهانگشا
cihânâferîn,xu1hebo1 eo6fo1rybo1,جهان آفرین
cihânî,xu1hebo1y,جهانی
cihâr,xu3her,چهار
cihâren,xu1here,جهارا
cihât,xu1hebo2,جهات
cihâz (çehiz),xu1hero1,جهاز
cihâz (çeyiz) vermek,xu1hero1wbu2rmk,جهازويرمک
cihâz,xu1hero1,جهاز
cihâzat,xu1hero1ebo2,جهازات
cihâzat-ı,xu1hero1ebo2u4,جهازاتِ
cihâzata,xu1hero1ebo2h,جهازاته
cihâzatça,xu1hero1ebo2xu1h,جهازاتجه
cihâzatı,xu1hero1ebo2y,جهازاتی
cihâzât,xu1hero1ebo2,جهازات
cihâzât-ı,xu1hero1ebo2u4,جهازاتِ
cihâzâtı,xu1hero1ebo2y,جهازاتی
cihâzâtın,xu1hero1ebo2ko3,جهازاتڭ
cihâzâtına,xu1hero1ebo2bo1h,جهازاتنه
cihâzâtını,xu1hero1ebo2bo1y,جهازاتنی
cil,xu1yl,جیل
cila etmek,xu1le e,جلا ا
cila vermek,xu1lewyrmk,جلاویرمک
cila,xu1le,جلا
cila,xu1lec,جلاء
cilacı,xu1lexu1y,جلاجی
ciladan,xu1ledbo1,جلادن
ciladar,xu1leder,جلادار
cilala,xu1lele,جلالا
cilalamak,xu1lelemfo2,جلالامق
cilalanmış,xu1lelebo1mso3,جلالانمش
cilalı,xu1lelw,جلالو
cilalı,xu1lely,جلالی
cild,xu1ld,جلد
cild-i,xu1ldu4,جلدِ
cildde,xu1lddh,جلدده
cildden,xu1lddbo1,جلددن
cilddir,xu1lddr,جلددر
cilde,xu1ldh,جلده
cildi,xu1ldy,جلدی
cildin,xu1ldko3,جلدڭ
cildinde,xu1ldbo1dh,جلدنده
cildini,xu1ldybo1y,جلدینی
cildinin,xu1ldybo1ko3,جلدینڭ
cildiye,xu1ldyh,جلدیه
cildiye,xu1ldyh||,جلدیه‌
cildle,xu1ldlh<>,جلدله‌
cildlemek,xu1ldlh<>mk,جلدله‌مک
cildlemek,xu1ldlh||mk,جلدله‌مک
cildlemiş,xu1ldlh||mso3,جلدله‌مش
cildlendirdiğiniz,xu1ldlbo1dyrdyko7ko3ro1,جلدلندیردیگڭز
cildlenip,xu1ldlh||bo1wbu1,جلدله‌نوب
cildlenmiş,xu1ldlbo1mso3,جلدلنمش
cildlense,xu1ldlbo1sh,جلدلنسه
cildler,xu1ldlr,جلدلر
cildlerdir,xu1ldlrdr,جلدلردر
cildleri,xu1ldlry,جلدلری
cildleriyle,xu1ldlrylh,جلدلریله
cildlerle,xu1ldlrlh,جلدلرله
cildlet,xu1ldlbo2,جلدلت
cildletmek,xu1ldlbo2mk,جلدلتمک
cildlettirerek,xu1ldlbo2dyrh||rk,جلدلتدیره‌رک
