a,ه
riyâziyyûn,ریاضيون
rû,رو
rub',ربع
rûbah,روباه
rubaiyat,رباعيات
rûbeh,روبه
rûberû,روبرو
rugan,روغن
ruh,رخ
rûh,روح
ruham,رخام
ruhbân,رهبان
ruhbâniyyet,رهبانيت
rûhefza,روح افزا
rûhî,روحی
rûhiyyat,روحيات
ruhsâr,رخسار
ruhsat,رخصت
ruk'a,رقعه
rukâd,رقاد
rumûz,رموز
rûşen,روشن
rutûbet,رطوبت
rûy,روی
rûy-i zemin,روی زمين
rûz,روز
rûze,روزه
rûzgâr,روزگار
rûz-merre,روزمره
rûznâmçe,روزنامچه
rûzüşeb,روز و شب
rübab,رباب
rübai,رباعی
rüchan,رجحان
rücû,رجوع
rüesâ,رؤسا
rüfekâ,رفقا
rükn,رکن
rüku',ركوع
rüsum,رسوم
rüsûmat,رسومات
rüsvâ /y,رسوای
rüşd,رشد
rüşvet,رشوت
rüya,رویا
rü'yet,رؤیت
rüzgâr,روزگار
saâdet,سعادت
saâdetbahş,سعادت بخش
saâdetmend,سعادتمند
sabâ,صبا
sabah,صباح
sabâvet,صباوت
sâbık,سابق
sâbıka,سابقه
sâbıküzzikr,سابق الذکر
sabır,صبر
sabî,صبی
sâbi',سابع
sâbi'an,سابعا
sâbi'î,صابئی
sâbir,صابر
sâbit,ثابت
sabr,صبر
sabûh,صبوح
sabun,صابون
sabûr,صبور
sâcid,ساجد
sad,صد
sadâ,صدا
sadâkat,صداقت
sadâret,صدارت
sadâretpenah,صدارت پناه
sâdât,سادات
sâde,ساده
saded,صدد
sâdedil,ساده دل
sâdedilâne,ساده دلانه
sadef,صدف
sâdelevh,ساده لوح
sademat,صدمات
sâdık,صادق
sâdıkülkavl,صادق القول
sâdır,صادر
sâdire,صادره
sâdis,سادس
sâdisen,سادسا
sadme,صدمه
sadpâre,صدپاره
sadr,صدر
sadsâl,صدسال
saf,صف
sâf,صاف
safâ,صفا
safâbahş,صفابخش
safahât,صفحات
safbeste,صف بسته
safder,صفدر
safderûn,صاف درون
safderûnâne,صاف درونانه
safdil,صاف دل
safdilâne,صاف دلانه
saff,صف
safha,صفحه
sâfî,صافی
sâfil,سافل
safîr,صفير
safra,صفره
safsâf,صفصاف
safsata,سفسطه
safşikâf,صف شکاف
safşiken,صاف شکن
safvet,صفوت
sâgar,ساغر
sagîr,صغير
sağr,ثغر
sahâ,ساخه
sâha,ساحه
sahâbe,صحابه
sahâbî,صحابی
sahâif,صحائف
sahâra,صحاری
sahbâ,صهبا
sahhaf,صحاف
sahî,سخی
sâhib,صاحب
sâhibcemâl,صاحب جمال
sâhibe,صاحبه
sâhibkemal,صاحب کمال
sâhibkerâmet,صاحب کرامت
sâhibkıran,صاحب قران
sâhibnazar,صاحب نظر
sahife,صحيفه
sahih,صحيح
sâhil,ساحل
sâhilhane,ساحل خانه
sâhir,ساحر
sahleb,ثعلب
sahn,صحن
sahr,صخر
sahra,صحرا
sahre,صخره
saht,سخت
sahte,ساخته
sahtekâr,ساخته کار
sahtiyan,سختيان
sahûr,ساحور
sâ'î,ساعی
sâib,صائب
sâibî,صائبی
sâid,ساعد
sâik,سائق
sâika,سائقه
sâil,سائل
sâim,صائم
sâir,سائر
sâirfilmenâm,سائر فی المنام
saiy,سعی
sâk,ساق
sakâmet,سقامت
sâkeyn,ساقين
sakf,سقف
sâkıb,ثاقب
sâkıt,ساقط
sâkî,ساقی
sakil,ثقيل
sakim,سقيم
sâkin,ساکن
sâkit,ساکت
sakka,سقا
sâl,سال
salâbet,صلابت
salâh,صلاح
salâhiyet,صلاحيت
salâhiyetdâr,صلاحيت دار
salât,صلات
sâldîde,سال دیده
sa'leb,ثعلب
salib,صليب
salîbî,صليبی
sâlif,سالف
sâlifüzzikr,سالف الذکر
sâlih,صالح
sâlik,سالک
sâlim,سالم
sâlimen,سالما
sâlis,ثالث
sâlisen,ثالثا
sâlnâme,سالنامه
sâlûs,سالوس
sâmân,سامان
sâmi',سامع
sâmî,سامی
sâmia,سامعه
samîmâne,صميمانه
samîmî,صميمی
samimiyet,صميميت
sâmin,ثامن
sâminen,ثامنا
sanâyi,صنایع
sancak,سنجاق
sandûk,صندوق
sandukdar,صندوقدار
sanem,صنم
sânevî,ثانوی
sâni',صانع
sânî,ثانی
saniye,ثانيه
sâniyen,ثانيا
sâr,ثار
sarâhat,صراحت
sarâhaten,صراحة
sârban,ساربان
sarf,صرف
sarfiyat,صرفيات
sârî,ساری
sarîh,صريح
sarîh,صریح
sarîhan,صریحا
sârik,سارق
sârim,صارم
sarsar,صرصر
sath,سطح
sathî,سطحی
satl,سطل
satvet,سطوت
savâb,ثواب
savb,صوب
savlet,صولت
savm,صوم
savmaa,صومعه
savt,صوت
sa'y,سعی
sayd,صيد
saydgâh,صيدگاه
sâye,سایه
sâyeban,سایبان
sâyedar,سایه دار
sayf,صيف
sayfiye,صيفيه
sayha,صيحه
sâyis,سایس
saykal,صيقل
saykalkâr,صيقلدار
sayyad,صياد
saz,ساز
se,سه
seb',سبع
sebak,سبق
sebât,ثبات
sebâtkâr,ثباتکار
sebâyidü,سه با دو
sebbâbe,سبابه
sebeb,سبب
sebebiyet,سببيت
sebed,سبد
sebîke,سبيکه
sebil,سبيل
seb'in,سبعين
sebk,سبک
sebkat,سبقت
seblâ,سبلا
sebt,ثبت
sebû,سبو
seb'ûn,سبعون
sebük,سبک
sebükmağz,سبک مز
sebükmizac,سبک مزاج
sebükpây,سبک پای
sebükser,سبک سر
sebz,سبز
sebze,سبزه
sec',سجع
secâyâ,سجایا
secdegâh,سجده گاه
secencil,سجنجىل
seciyevî,سجيوی
seciyye,سجيه
sedâ,صدا
sedânüvis,صدا نویس
sedâyâ,ثدایا
sedd,سد
seddâd,سداد
sedefî,صدفی
sedy,ثدی
sefâhat,سفاحت
sefâin,سفائن
sefâlet,سفالت
sefâret,سفارت
sefârethâne,سفارت خانه
sefer,سفر
seferber,سفربر
seferî,سفری
seffâh,سفاح
seffâk,سفاک
sefîd,سفيد
sefih,سفيه
sefil,سفيل
sefile,سفيله
sefîne,سفينه
sefir,سفير
sefirikebir,سفيرکبير
seg,سگ
segâbi,سگ آبی
sehâ,سخا
sehâb,سحاب
sehâbâlûd,سحاب آلود
sehâkâr,سخاکار
sehâvet,سخاوت
sehergâh,سحرگاه
seherhîz,سحرخيز
sehhâr,سحار
sehî,سهی
sehîkad,سهی قد
sehîkâmet,سهی قامت
sehîm,سهيم
sehl,سهل
sehm,سهم
sehm,سهم
sehmgîn,سهمگين
sehmnâk,سهمناک
sehv,سهو
sehven,سهوا
sehviyyât,سهویات
sekene,سکنه
sekr,سکر
sekrâver,سکر آور
sekte,سکته
selâmet,سلامت
selâs,ثلاث
selâse,ثلاثه
selâset,سلاست
selâsil,سلاسل
selâsîn,ثلثين
selâsûn,ثلثون
selâtîn,سلاطين
selb,سلب
selcûkî,سلجوقی
selef,سلف
selh,سلخ
selhhâne,سلخ خانه
selîka,سليقه
selim,سليم
selîmülkalb,سليم القلب
selîs,سليس
selle,سله
sellebâf,سله باف
sem,سم
sem',سمع
semâ,سما
semâcet,سماجت
semâhâne,سماع خانه
semahat,سماحت
semân,ثمان
semânun,ثمانون
semâvât,سموات
semâvî,سماوی
semdâr,سمدار
semek,سمک
semen,ثمن
semen,ثمن
semen,سمن
semen,سمن
semenber,سمنبر
semend,سمند
semer,ثمر
semerât,ثمرات
semere,ثمره
semeredâr,ثمره دار
semî,سميع
semin,سمين
semîn,ثمين
semmûr,سمور
semra,سمرا
semt,سمت
senâ,ثنا
senâgû,ثناگو
senâhân,ثناخوان
senâkâr,ثناکار
senâya,ثنایا
sencîde,سنجيده
sene,سنه
senebesene,سنه بسنه
sened,سند
senedât,سندات
senevât,سنوات
senevî,سنوی
seng,سنگ
sengdil,سنگ دل
sengdilâne,سنگ دلانه
sengîn,سنگين
senglâh,سنگلاخ
sengtıraş,سنگ تراش
seniyye,سنيه
sepîd,سپيد
sepîdedem,سپيده دم
ser,سر
serâ,ثرا
serâ,سرا
serâb,سراب
serâğâz,سرآغاز
serâir,سرائر
serâmed,سرآمد
serâmedân,سر آمدان
serâpâ,سراپا
serâperde,ساراپرده
serâser,سراسر
serâsîme,سراسيمه
serasker,سرعسکر
seraskerî,سرعسکری
serây,سرای
serbeser,سربسر
serbest,سربست
serbestî,سربستی
serbesücûd,سر بسجود
serbülend,سربلند
serçeşme,سرچشمه
serd,سرد
serd,سرد
serdâr,سردار
serefrâz,سرافراز
serencâm,سرانجام
seretân,سرطان
serfirâz,سرفراز
serfürû,سرفرو
sergerdân,سرگردان
sergüzeşt,سرگذشت
serhad,سرحد
serheng,سرهنگ
serî,سریع
serîr,سریر
serîülintikal,سریع الانتقال
seriyye,سریه
serkâtib,سرکاتب
serkerde,سرکرده
serkeş,سرکش
serkeşî,سرکشی
serkûy,سرکوی
serlevha,سرلوحه
sermâ,سرما
sermâye,سرمایه
sermâyedâr,سرمایه دار
sermed,سرمد
sermest,سرمست
sermestî,سرمستی
sermuharrir,سرمحرر
sermüneccim,سرمنجم
sernâme,سرنامه
sernigun,سرنگون
sernüvişt,سرنوشت
serpuş,سرپوش
serrâc,سراج
serrâchâne,سراج خانه
serserî,سرسری
serşâr,سرشار
sertâpâ,سرتاپا
sertâser,سرتاسر
serv,سرو
servendâm,سرواندام
server,سرور
serverân,سروران
servet,ثروت
servistân,سروستان
servkadd,سروقد
serzeniş,سرزنش
serzenişkâr,سرزنشکار
setr,ستر
settâr,ستار
sevâb,ثواب
sevâbit,ثوابت
sevâd,سواد
sevâhil,سواحل
sevb,ثوب
sevdâ,سودا
sevdâzede,سودازده
seviyye,سویه
sevk,سوق
sevkülceyş,سوق الجيش
sevkülceyşî,سوق الجيشی
sevp,ثوب
sevr,ثور
seyâhat,سياحت
seyelân,سيلان
seyf,سيف
seyfiyye,سيفيه
seyl,سيل
seylâb,سيلاب
seylâbe,سيلابه
seylhîz,سيلخيز
seyr,سير
seyrân,سيران
seyrangâh,سيرانگاه
seyrfilmenâm,سير فی المنام
seyrüsefer,سير و سفر
seyyâh,سياح
seyyâhin,سياحين
seyyâl,سيال
seyyâle,سياله
seyyar,سيار
seyyârât,سيارات
seyyâre,سياره
seyyiât,سيئات
seyyib,ثيب
seyyibât,ثيبات
seyyibe,ثيبه
seyyid,سيد
seyyie,سيئه
sezâ,سزا
sezâvar,سزاوار
sıbt,سبط
sıbyân,صبيان
sıddık,صدیق
sıdk,صدق
sıfat,صفت
sıfât,صفات
sıfr,صفر
sığar,صغر
sığâr,صغار
sıhâh,صحاح
sıhhat,صحت
sıhhî,صحی
sıhhiye,صحيه
sıhr,صهر
sıhriyet,صهریت
sıklet,ثقلت
sıla,صله
sıle,صله
sımt,سمط
sınâat,صناعت
sınâât,صناعات
sınâ'î,صناعی
sınf,صنف
sırâc,سراج
sırât,صراط
sırf,صرف
sırr,سر
sıyâm,صيام
sıyânet,صيانت
sî,سی
siâyet,سعایت
sîb,سيب
sicill,سجل
sidrenişin,سدره نشين
sidretülmüntehâ,سدرة المنتها
sifâl,سفال
sifâlîn,سفالين
sih,سيخ
sihâm,سهام
sihir,سحر
sihr,سحر
sihrâmîz,سحر آميز
sihrbâz,سحرباز
sika,ثقه
sikke,سکه
sikkîn,سکين
silâhdâr,سلاحدار
sîlî,سيلی
silk,سلک
sill,سل
sillürrie,سل الرئه
silsile,سلسله
sîm,سيم
sîmâ,سيما
sîmâb,سيماب
simât,سماط
sîmber,سيمبر
sîmîn,سيمين
simsâr,سمسار
simsâriyye,سمساریه
sîmten,سيم تن
sîmurg,سيمرغ
sin,سن
sinan,سنان
sindân,سندان
sine,سنه
sîne,سينه
sînebend,سينه بند
sîneçâk,سيه چاک
sînezen,سينه زن
sînî,سينی
sinîn,سنين
sinn,سن
sinnen,سنا
sipâh,سپاه
sipâriş,سپارش
sipâs,سپاس
sipasgüzâr,سپای گزار
sipeh,سپه
sipehsâlâr,سپه سالار
sipihr,سپهر
sîr,سير
sîr,سير
sirâyet,سرایت
sîret,سيرت
sirişk,سرشک
sirişt,سرشت
sirkat,سرقت
sitâre,ستاره
sitâyiş,ستایش
sitâyişkâr,ستایشکار
sitebr,ستبر
sitem,ستم
sitemdîde,ست دیده
sitemger,ستمگر
sitemkâr,ستمکار
sitîz,ستيز
sitîze,ستيره
sitt,ست
sitte,سته
sittîn,ستين
sivâ,سوا
siyâb,ثياب
siyâdet,سيادت
siyâh,سياه
siyâhbaht,سياه بخت
siyâhî,سياهی
siyâk u sibak,سياق و سباق
siyâset,سياست
siyasî,سياسی
siyasiyat,سياسيات
siyasiyûn,سياسيون
siyeh,سيه
siyyânen,سيانا
sôfî,صوفی
sohbet,صحبت
sû,سو
sû',سوء
su'âl,سؤال
su'âlât,سؤالات
su'bân,ثعبان
sûbesû,سوبسو
subh,صبح
subhdem,صبح دم
subhgâh,صبحگاه
sûd,سود
sudâ',صداع
sûdâger,سوداگر
sûdmend,سودمند
sudûr,صدور
sûf,صوف
suffe,صفه
sûfî,صوفی
sûfiyye,صوفيه
sufûf,صفوف
sugrâ,صغرا
suhan,سخن
sûhân,سوهان
suhen,سخن
sûhte,سوخته
suhuf,صحف
sûikasd,سوء قصد
sûinazar,سوء نظر
sûiniyet,سوء نيت
sûizan,سوء ظن
sûk,سوق
sukût,سقوط
sulb,صلب
sulehâ,صلحا
sulh,صلح
sulhâmîz,صلح آميز
sulhen,صلحا
sulta,سلطه
sultân,سلطان
sun',صنع
sun'î,صنعی
sunûf,صنوف
sûr,سور
sûr,سور
sûr,صور
sûrâh,سوراخ
surahî,صراحی
sûret,صورت
sûretâ,صورتا
sûretger,صورتگر
sûrnâ,سورنا
surre,صره
sûsen,سوسن
sûsmâr,سوسمار
sutûh,سطوح
sutûr,سطور
su'ûbet,صعوبت
suver,صور
sûy,سوی
sûz,سوز
sûzân,سوزان
sûzen,سوزن
sûzende,سوزنده
sûziş,سوزش
sûznâk,سوزناک
sübhan,سبحان
sübhânî,سبحانی
sübût,ثبوت
sücûd,سجود
südde,سده
süedâ,سؤدا
süfehâ,سفها
süferâ,سفرا
süflî,سفلی
süfte,سفته
süfün,سفن
sügur,ثغور
sühan,سخن
sühandan,سخندان
sühanperdaz,سخن پرداز
sühûlet,سهولت
sühûnet,سخونت
sükkân,سکان
sükker,سکر
sükûn,سکون
sükûn,سکون
sükûnet,سکونت
sükût,سکوت
sülâle,سلاله
sülâsâ,ثلثا
süllem,سلم
süls,ثلث
sülûk,سلوک
sülüsân,ثلثلان
süm,سم
sümpâre,سم پاره
sümûm,سموم
sünbâde,سنباده
sünbül,سنبل
sünbüle,سنبله
sünen,سنن
sünûhat,سنوحات
sürâdık,سرادق
sürb,سرب
süreyya,ثریا
sürfe,سرفه
sürh,سرخ
sürûd,سرود
sürur,سرور
sürûrengîz,سرور انگيز
sürûş,سروش
sürü,سورو
sürü,سورى
süst,سست
sütre,ستره
sütûde,ستوده
sütûn,ستون
sütur,ستور
süvar,سوار
süvârî,سواری
süyûf,سيوف
şâd,شاد
şâdân,شادان
şâdî,شادی
şâdmân,شادمان
şâdmânî,شادمانی
şâdurvan,شادروان
şafak,شفق
şâfi',شافع
şâgird,شاگرد
şâgirdân,شاگردان
şâh,شاخ
şâh,شاه
şahâdet,شهادت
şahâdetname,شهادت نامه
şâhân,شاهان
şâhâne,شاهانه
şahbal,شاهبال
şâhenşâh,شاهنشاه
şâheser,شاه اثر
şâhî,شاهی
şâhid,شاهد
şâhika,شاهقه
şahin,شاهين
şâhkâr,شاهکار
şahne,شحنه
şâhnişin,شاهنشين
şâhrah,شاهراه
şâhreg,شاهرگ
şahs,شخص
şâhsâr,شاخسار
şahsen,شخصا
şahsî,شخصی
şahsiyet,شخصيت
şahsüvar,شاه سوار
şahvar,شاهوار
şâhzade,شاهزاده
şâibe,شائبه
şaîr,شعير
şâir,شاعر
şâiran,شاعران
şâirâne,شاعرانه
şâire,شاعره
şakî,شقی
şâkî,شاکی
şâkir,شاکر
şâkird,شاکرد
şakk,شق
şâkûl,شاکول
şakuli,شاقولى
şâl,شال
şâm,شام
şâme,شامه
şâmgâh,شامگاه
şâmî,شامی
şâmih,شامخ
şâmil,شامل
şâmme,شامه
şân,شان
şâne,شانه
şa'r,شعر
şarâb,شراب
şarâbî,شرابی
şâri',شارع
şâribülleyli vennehâr,شارب الليل والنهار
şârih,شارح
şa'riyye,شعریه
şark,شرق
şarkan,شرقا
şarkî,شرقی
şarkiyat,شرقيات
şarkiyyûn,شرقيون
şart,شرط
şartiyyet,شرطيت
şartnâme,شرط نامه
şast,شست
şa'şa'a,شعشعه
şa'şa'adâr,شعشعه دار
şathiyyat,شطحيات
şâtır,شاطر
şatranc,شطرنج
şatt,شط
şâyân,شایان
şâyed,شاید
şâyeste,شایسته
şâyestegî,شایستگی
şâygân,شایگان
şâyi',شایع
şâyia,شایعه
şâz,شاذ
şeâmet,شآمت
şeb,شب
şebâb,شباب
şebâhet,شباهت
şebân,شبان
şebangâh,شبانگاه
şebâviz,شباویز
şebbûy,شب بوی
şebefrûz,شب افروز
şebeke,شبکه
şebgerd,شبگرد
şebgîr,شبگير
şebîh,شبيه
şebîhûn,شبيخون
şebistan,شبستان
şebnem,شبنم
şebpere,شب پره
şebreng,شب رنگ
şebtâb,شبتاب
şeburûz,شب و روز
şebzindedâr,شب زنده دار
şecâat,شجاعت
şecer,شجر
şecere,شجره
şecî,شجيع
şedîd,شدید
şefâat,شفاعت
şefafet,شفافت
şefakat,شفقت
şeffaf,شفاف
şefî',شفيع
şefik,شفيق
şeftâlû,شفتالو
şegal,شغال
şeh,شه
şehâ,شها
şehâdet,شهادت
şehâdetnâme,شهادت نامه
şehâmet,شهامت
şehbâl,شهبال
şehbender,شهبندر
şehbenderhâne,شهبندر خانه
şehd,شهد
şehenşâh,شهنشاه
şehevât,شهوات
şehîd,شهيد
şehîr,شهير
şehlâ,شهلا
şehnişin,شهنشين
şehper,شهپر
şehr,شهر
şehrâşûb,شهر آشوب
şehrî,شهری
şehristan,شهرستان
şehryâr,شهریار
şehryârî,شهریاری
şehsüvar,شهسوار
şehvânî,شهوانی
şehvât,شهوات
şehvet,شهوت
şehvetengîz,شهوت انگيز
şehvetperest,شهوت پرست
şehzâde,شهزاده
şehzâdegân,شهزادگان
şekâvet,شقاوت
şeker,شکر
şekerâb,شکراب
şekerhand,شکرخند
şekerleb,شکرلب
şekîbâ,شکيبا
şekk,شک
şekl,شکل
şeklen,شکلا
şeklî,شکلی
şekvâ,شکوا
şelgam,شلغم
şellâle,شلاله
şelvâr,شلوار
şelvârbend,شلواربند
şem',شمع
şemâil,شمائل
şemâte,شماطه
şem'dan,شمعدان
şemîm,شميم
şemme,شمه
şems,شمس
şems,شمس
şemsî,شمسی
şemsiye,شمسيه
şemşîr,شمشير
şe'n,شأن
şenâat,شناعت
şenbe,شنبه
şenî',شنيع
şe'niyet,شأنيت
şer,شر
şer',شرع
şerâbhâr,شرابخوار
şerâfet,شرافت
şerâit,شرائط
şerâket,شراکت
şer'an,شرعا
şerâre,شراره
şerâret,شرارت
şerâyi',شرایع
şerbet,شربت
şeref,شرف
şerefbahş,شرفبخش
şerer,شرر
şerh,شرح
şerha,شرحه
şer'î,شرعی
şeriat,شریعت
şerif,شریف
şerik,شریک
şerîr,شریر
şerîr,شریر
şerîta,شریطه
şer'iye,شرعيه
şerm,شرم
şermende,شرمنده
şermendegî,شرمندگی
şermgîn,شرمگين
şermnâk,شرمناک
şermsâr,شرمسار
şerr,شر
şest,شست
şeş,شش
şeşbeş,شش بش
şeşcihar,شش جهار
şeşise,شش و سه
şeşiyek,شش و یک
şeşper,شش پر
şeşüdü,شش و دو
şeşüm,ششم
şeşüse,شش و سه
şeşüyek,شش و یک
şetâret,شطارت
şetm,شتم
şevâgil,شواغل
şevher,شوهر
şevk,شوق
şevket,شوکت
şevketmeâb,شوکت مآب
şevketpenâh,شوکت پناه
şey',شئ
şeyâtin,شياطين
şeyb,شيب
şeydâ,شيدا
şeyh,شيخ
şeyhûhet,شيخوخت
şey'î,شيئی
şey'iyet,شيئيت
şeytanet,شيطنت
şeytânî,شيطانی
şıhne,شحنه
şık,شق
şîa,شيعه
şiâr,شعار
şibh,شبه
şibh-i cezîre,شبه جزیره
şibh-i münharif,شبه منحرف
şicâ',شجاع
şiddet,شدت
şifâ',شفاء
şifâbahş,شفابخش
şifâhane,شفاخانه
şifâhen,شفاها
şifâhî,شفاهی
şifakâr,شفاکار
şifânâpezîr,شفاناپذیر
şifâresân,شفارسان
şifâyâb,شفایاب
şîfte,شيفته
şîftedil,شيفته دل
şihâb,شهاب
şîhe,شيهه
şîî,شيعی
şiirâlud,شعر آلود
şîiyyet,شيعيت
şikâr,شکار
şikârgah,شکارگاه
şikârî,شکاری
şikâyât,شکایات
şikâyet,شکایت
şikâyetnâme,شکایت نامه
şikem,شکم
şikembe,شکمبه
şikemderd,شکم درد
şikemperest,شکم پرست
şikemperver,شکم پرور
şiken,شکن
şikence,شکنجه
şikest,شکست
şikeste,شکسته
şikestebâl,شکسته بال
şikestebeste,شکسته بسته
şikestedil,شکسته دل
şikestetâli',شکسته طالع
şimâl,شمال
şimâlen,شمالا
şimâlî,شمالی
şimşâd,شمشاد
şimşir,شمشير
şinâs,شناس
şi'r,شعر
şîr,شير
şîr,شير
şîrâze,شيرازه
şîrdan,شيردان
şîrdil,شيردل
şîre,شيره
şîrhar,شيرخوار
şîrin,شيرین
şîrinkâr,شيرینکار
şîrinzeban,شيرین زبان
şirk,شرک
şirket,شرکت
şîrmerd,شيرمرد
şîrpençe,شيرپنچه
şirret,شرت
şiryân,شریان
şîşe,شيشه
şitâ,شتا
şitâbân,شتابان
şitâiyye,شتائيه
şîve,شيوه
şîvebaz,شيوه باز
şîvekâr,شيوه کار
şîven,شيون
şöhre,شهره
şöhret,شهرت
şöhretşiâr,شهرت شعار
şuâ,شعاع
şuâât,شعاعات
şuabât,شعبات
şuarâ,شعرا
şube,شعبه
şubede,شعبده
şubedebâz,شعبده باز
şuebât,شعبات
şugl,شغل
şugûl,شغول
şûh,شوخ
şûhmeşreb,شوخ مشرب
şu'le,شعله
şu'ledar,شعله دار
şu'lereng,شعله رنگ
şu'lever,شعله ور
şûm,شوم
şûr,شور
şûrâ,شورا
şûrbaht,شوربخت
şûre,شوره
şûrezâr,شوره زار
şûrîde,شوریده
şûrîdebaht,شوریده بخت
şûrîdehâtır,شوریده خاطر
şûristân,شورستان
şûriş,شورش
şurta,شرطه
şurûb,شروب
şurût,شروط
şuûbiyye,شعوبيه
şuûn,شئون
şuur,شعور
şûy,شوی
şübhe,شبهه
şübhedar,شبهه دار
şücâ',شجاع
şücâ'at,شجاعت
şüfeâ,شفعا
şühedâ,شهدا
şühud,شهود
şühûr,شهور
şükr,شکر
şükrân,شکران
şükrâne,شکرانه
şükrgüzar,شکرگزار
şükûfe,شکوفه
şükûfezar,شکوفه زار
şükûh,شکوه
şüküfte,شکفته
şükür,شکر
şümâr,شمار
şümûl,شمول
şümürde,شمرده
şüpüş,شپش
şürb,شرب
şürefâ,شرفا
şürekâ,شرکا
şürû,شروع
şürûh,شروح
şürûr,شرور
şürut,شروط
şüs,شس
şüst,شست
şüstüşû,شست و شو
şüş,شش
şütür,شتر
şütürban,شتربان
şütürdil,شتردل
şütürhâr,شترخوار
şütürmürg,شترمرغ
şüûn,شئون
şüûnât,شئونات
şüyû,شيوع
şüyûh,شيوخ
tâ,تا
tâ,تا
taab,تعب
taabbüd,تعبد
taaccüb,تعجب
taaddî,تعدی
taaddüd,تعدد
taadiyât,تعدیات
taaffün,تعفن
taahhüd,تعهد
taahhüdname,تعهد نامه
taakkul,تعقل
taalluk,تعلق
taallukât,تعلقات
taallül,تعلل
taâm,طعام
taâmhane,طعام خانه
taammuk,تعمق
taammüd,تعمد
taammüden,تعمدا
taammüm,تعمم
taannüd,تعند
taarruz,تعرض
taarrüb,تعرب
taassub,تعصب
taassubkâr,تعصبکار
taassubkârî,تعصبکاری
taassür,تعسر
taaşşuk,تعشق
tâat,طاعت
taavvuk,تعوق
taayYün,تعين
taayYüş,تعيش
taazzuv,تعضو
tab',طبع
tâb,تاب
tabâbet,طبابت
tabâhat,طباخت
tabak,طبق
tabaka,طبقه
tabakât,طبقات
tabakâtülarz,طبقة الارض
tabakhâne,طبق خانه
tab'an,طبعا
tâbân,تابان
tab'âniyye,طبعانيه
tabasbus,تبصبص
tâbâver,تاب آور
tabâyi',طبایع
tabbâh,طباخ
tabbâl,طبال
tâbdar,تابدار
tâbe,تابه
tâbende,تابنده
tabh,طبخ
tabhâne,طبع خانه
tâbi,تابع
tâbi',طابع
tabiat,طبيعت
tabib,طبيب
tabîban,طبيبان
tabîî,طبيعی
tabîiyyât,طبيعيات
tâbiiyyet,تابعيت
tabîiyyûn,طبيعيون
tabir,تعبير
tâbirat,تعبيرات
tâbistan,تابستان
tâbistânî,تابستانی
tâbiş,تابش
ta'biye,تعبيه
ta'biyetülceyş,تعبية الجيش
tabl,طبل
tablzen,طبل زن
tâbnâk,تابناک
tâbut,تابوت
tâc,تاج
tâcdâr,تاجدار
tâcıser,تاج سر
tacidar,تاجدار
ta'cîl,تعجيل
tacir,تاجر
taciz,تعجيز
tâcser,تاجسر
tâcver,تاجور
tadâd,تعداد
ta'dâd,تعداد
ta'dîl,تعدیل
ta'dîlat,تعدیلات
ta'dîlen,تعدیلا
tafazzul,تفضل
tafra,طفره
tafrafurûş,طفده فروش
tafsil,تفصيل
tafsilât,تفصيلات
tafsîlen,تفصيلا
tagaddî,تغدی
tagallüb,تغلب
tagannî,تغنی
tagayyür,تغير
tagazzî,تغذی
tağdiye,تغذیه
tâğî,طاغی
tağlik,تغليق
tağlît,تغليط
tâğun,طاغون
tâğût,طاغوت
tağyîr,تغيير
tağyîrât,تغييرات
tağziye,تغذیه
tahaccür,تحجر
tahaddüb,تحدب
tahaddüs,تحدس
tahaddüsiyye,تحدسيه
tahakkuk,تحقق
tahakküm,تحکم
tahallüs,تخلص
tahammül,تحمل
tahammülfersâ,تحمل فرسا
tahammür,تخمر
tahâret,طهارت
taharrî,تحری
taharriyât,تحریات
tahassür,تحسر
tahassüs,تحسس
tahaşşî,تخشی
tahattî,تخطی
tahattur,تخطر
tahavvül,تحول
tahavvülât,تحولات
tahayyül,تخيل
tahayyülât,تخيلات
tahayyülî,تخيلی
tahayyür,تحير
tahcîr,تحجير
tahdîd,تحدید
tahdîdât,تحدیدات
tahfîf,تخفيف
tâhir,طاهر
tahkik,تحقيق
tahkîkat,تحقيقات
tahkim,تحکيم
tahkîmât,تحکيمات
tahkîr,تحقير
tahkîrâmiz,تحقير آميز
tahlîf,تحليف
tahlîl,تحليل
tahlîlât,تحليلات
tahlîs,تخليص
tahlit,تخليط
tahliye,تخليه
tahmîl,تحميل
tahmînen,تخمينا
tahmînî,تخمينی
tahmîr,تخمير
tahmis,تخميس
tahnit,تحنيط
tahrib,تخریب
tahrîbât,تخریبات
tahrîbkâr,تخریبکار
tahrîf,تحریف
tahrîfat,تحریفات
tahrîk,تحریک
tahrîkâmiz,تحریک آميز
tahrim,تحریم
tahrir,تحریر
tahrîrî,تحریری
tahris,تحریص
tahriş,تخریش
tahsil,تحصيل
tahsîlat,تحصيلات
tahsildar,تحصيلدار
tahsin,تحسين
tahsis,تخصيص
tahsisat,تخصيصات
tahşiye,تحشيه
taht,تحت
taht,تخت
tahtânî,تحتانی
tahte,تخته
tahtelarz,تحت الارض
tahtelbahir,تحت البحر
tahteşşuur,تحت الشعور
tahtgâh,تختگاه
tahtıe,تخطئه
tahtît-i arazi,تخطيط اراضی
tahtnişin,تخت نشين
tahtüşşuûr,تحت الشعور
tahvil,تحویل
tahvîlât,تحویلات
tahzîr,تحذیر
tâib,تائب
