a,eo6
ateşkayığı,eo6bo2so3 fo2eyyao1y
ateşlemek,eo6bo2so3lmk
ateşlendirmek,eo6bo2so3lbo1dbu2rmk
ateşlenmek,eo6bo2so3lbo1mk
ateşli,eo6bo2so3ly
ateşlik,eo6bo2so3lk
âteşnâk,eo6bo2so3bo1ek
ateşpâre,eo6bo2so3bu3erh
ateşperest,eo6bo2so3bu3rsbo2
atfetmek,atfo1 eybo2mk
atıcı,eo6bo2yxu1y
atıf,atfo1
âtıfet,aetfo1bo2
âtıl,aetl
atılış,eo6bo2ylyso3
atılma,eo6bo2ylmh
atılmak,eo6bo2ylmfo2
atım,eo6bo2ym
atış,eo6bo2yso3
atışmak,eo6bo2yso3mfo2
atıştırmak,eo6bo2yso3dyrmfo2
atıyye,atyh
âtî,eo6bo2y
atik,eo6bo2yk
atîk,abo2yfo2
âtiyen,eo6bo2yeo44
atkafalı,eo6bo2 fo2fo1ely
atkestanesi,eo6bo2 ksbo2ebo1h||sy
atkı,eo6bo2fo2y
atkılamak,eo6bo2fo2ylemfo2
atkulağı,eo6bo2 fo2wleao1y
atkuyruğu,eo6bo2 fo2wyrwao1y
atlama,eo6bo2le||mh
atlamak,eo6bo2lemfo2
atlandırmak,eo6bo2le||bo1dyrmfo2
atlas,eo6tles
atlas,etls
atlayış,eo6bo2leyso3
atlı,eo6bo2ly
atma,eo6bo2mh
atmaca,eo6bo2mexu1h
atmak,eo6bo2mfo2
atom,eo6bo2wm
atsineği,eo6bo2 sybo1ko7y
atsülüğü,eo6bo2 swlwko7y
atş,atso3
atşan,atso3ebo1
attırmak,eo6bo2dyrmfo2
at,eo6bo2
av,eo6we
avadanlık,eo6wedebo1lfo2
avam,awem
avâmil,aweml
avanak,eo6webo1efo2
Avanos,eo6webo1ws
avanta,eo6webo1bo2e
âvâre,eo6werh
âvâz,eo6wero1
avcı,eo6wxu1y
avcılık,eo6wxu1ylfo2
avdet,awdbo2
âvize,eo6wyro1h
av köpeği,eo6wkwbu3ky
avlamak,eo6wlemfo2
avlanış,eo6wlebo1yso3
avlanmak,eo6wlebo1mfo2
avlu,eo6wly
avrat,awrbo2
Avrupa,eo6wrwbu3e
avuç,eo6wwxu1
avuçlamak,eo6wwxu1lemfo2
avukat,eo6wwfo2ebo2
avunmak,eo6wwbo1mfo2
avurt,eo6wwrbo2
avurtlu,eo6wwrbo2ly
Avustralya,eo6wsbo2relye
Avusturya,eo6wsbo2rye
avutdurmak,eo6wwbo2drmfo2
avutmak,eo6wwbo1mfo2
avutulmak,eo6wwbo2lmfo2
ay,eo6y
Ay,eo4y
aya,eo6ye
ayağına çabuk,eo6ye||ao1bo1h||xu3ebu1wfo2
ayak,eo6yefo2
ayakaltı,eo6yefo2 eo6lbo2y
ayakkabı,eo6yefo2||fo2ebu1y
ayakkabıcı,eo6yefo2 fo2ebu1yxu1y
ayaklamak,eo6bu2e||fo2lemfo2
ayaklandırmak,eo6ye||fo2lebo1dyrmfo2
ayaklanmak,eo6yefo2lebo1mfo2
ayaklanmak,eo6yefo2lebo1mfo2
ayaklı,eo6yefo2ly
ayaklık,eo6yefo2lfo2
ayaküstü,eo6yefo2 ewsbo2y
ayâl,ayel
ayan,ayebo1
âyân,eayebo1
ayanbeyan,ayebo1 bu1yebo1
Ayancık,ayebo1xu1fo2
ayar,ayer
ayarcı,ayerxu1y
ayarmak,eo6yermfo2
ayartmak,eo6yerbo2mfo2
ayartılmak,eo6yerbo2lmfo2
Ayaş,eo6yeso3
ayaz,eo6yero1
ayazlamak,eo6yero1lemfo2
ayazlanmak,eo6yero1lebo1mfo2
ayazlatmak,eo6yero1lebo2mfo2
ayazma,eo6yero1mh
aydın,eo6ydybo1
Aydın,eo6ydybo1
aydınlamak,eo6ydybo1lemfo2
aydınlanmak,eo6ydybo1lebo1mfo2
aydınlaşdırmak,eo6ydybo1leso3dyrmfo2
aydınlaşmak,eo6ydybo1leso3mfo2
aydınlatmak,eo6ydybo1lebo2mfo2
aydınlık,eo6ydybo1lfo2
âyet,eo6ybo2
aygır,eo6yao1yr
ayı,eo6yy
ayıp,aybu1
ayıplamak,aybu1lemfo2
ayıplanmak,aybu1lebo1mfo2
ayıpsız,aybu1sro1
ayık,eo6yfo2
ayıklamak,eo6yfo2lemfo2
ayıklık,eo6yfo2lfo2
ayılmak,eo6yylmfo2
ayıltmak,eo6yylbo2mfo2
ayırmak,eo6yyrmfo2
ayırt,eo6yyrbo2
âyîn,eo6yybo1
âyine,eo6yybo1h
aykırı,eo6yfo2yry
aylak,eo6ylefo2
aylakçı,eo6ylefo2xu1y
aylık,eo6ylfo2
aylıkçı,eo6ylfo2xu1y
aylıklı,eo6ylfo2ly
aymak,eo6ymfo2
ayna,eo6ybo1h
aynacı,eo6ybo1h||xu1y
aynalı,eo6ybo1h||ly
"aynasız ",eo6ybo1h||sro1
aynen,aybo1eo44
aynî,aybo1y
ayni,aybo1y
ayniyet,aybo1ybo2
ayran,eo6yrebo1
ayranlık,eo6yrebo1lfo2
ayrı,eo6yry
ayrık,eo6yryfo2
ayrılanmak,eo6yrylebo1mfo2
ayrılaşmak,eo6yryleso3mfo2
ayrılık,eo6yrylfo2
ayrılmak,eo6yrylmfo2
ayva,eo6ywe
Ayvacık,eo6ywexu1fo2
ayvalık,eo6ywelfo2
Ayvalık,eo6ywelfo2
ayvaz,eo6ywero1
ayvaz,aywezo1
ayyaş,ayeso3
ayyaşlık,aye||so3lfo2
ayyûk,aywfo2
az,eo6ro1
âzâ,eazo1e
azâb,ado1ebu1
azab,aro1bu1
âzâd,eo6ro1ed
âzâde,eo6ro1edh
âzâdegi,eo6ro1dky
âzâdlamak,eo6ro1edlemfo2
âzadlı,eo6ro1edly
âzadlık,eo6ro1edlfo2
azalmak,eo6ro1elmfo2
azaltmak,eo6ro1elbo2mfo2
a'zam,eato1m
azamet,ato1mbo2
azametli,ato1mbo2ly
âzamî,eato1my
azar,eo6ro1er
azarlamak,eo6ro1erlemfo2
azarlanmak,eo6ro1erlebo1mfo2
azarlatmak,eo6ro1erlebo2mfo2
azarlayış,eo6ro1erleyso3
azcık,eo6ro1xu1fo2
azdırılmak,eo6ro1dylmfo2
azdırmak,eo6ro1dyrmfo2
âzeri,eo6ro1ry
azgın,eo6ro1ao1ybo1
azı,eo6ro1y
azıdişi,eo6ro1y dyso3y
azık,eo6ro1yfo2
"azıklanmak ",eo6ro1yfo2lebo1mfo2
azımsamak,eo6ro1msemfo2
azırganmak,eo6ro1yrao1ebo1mfo2
azıtmak,eo6ro1ybo2mfo2
azim,aro1m
azîm,ato1bu2m
azîmet,aro1ymbo2
aziz,aro1yro1
Aziziye,aro1yro1yh
azizlik,aro1yro1lk
azil,aro1l
azletmek,aro1l eybo2mk
azma,eo6ro1mh
azmak,eo6ro1mfo2
azmak,eo6ro1mefo2
azman,eo6ro1mebo1
azot,eo6ro1wbo2
azrâil,aro1rebo5yl
bâb,bu1ebu1
baba,bu1ebu1e
Babaeski,bu1ebu1eesky
babalı,bu1ebu1ely
babalık,bu1ebu1elfo2
Bâbıali,bu1ebu1||aely
babayâni,bu1ebu1eyebo1h
babayiğit,bu1ebu1e||yykybo2
babayiğitlik,bu1ebu1e||yykybo2lk
baca,bu1exu1e
bacak,bu1exu1efo2
bacaklı,bu1exu1efo2ly
bacaksız,bu1exu1efo2sro1
bacaksızlık,bu1exu1efo2sro1lfo2
bacanak,bu1exu1ebo1efo2
bacanak,bu1exu1bo1efo2
bacanaklık,bu1exu1ebo1efo2lfo2
bacı,bu1exu1y
badana,bu1edebo1e
badanacı,bu1edebo1exu1y
badanacılık,bu1edebo1exu1ylfo2
badanalamak,bu1edebo1elemfo2
badanalı,bu1edebo1ely
bâde,bu1edh
bâdehu,bu1adh
bâdem,bu1edm
bâdemâ,bu1adme
bâdemcik,bu1edmxu1k
bâdemi,bu1edmy
bâdemiçi,bu1edm eyxu3y
bâdemlik,bu1edmlk
bâdemyağı,bu1edmu4 yeao1y
bâdisaba,bu1edzbu1e
bâdire,bu1edrh
bâdiye,bu1edyh
bâdnümâ,bu1edbo1me
Bafra,bu1efo1re
bağ,bu1eao1
bağa,bu1eao1h
bagaj,bu1eao1ero3
bağdadî,bu1ao1dedy
bağdaş,bu1eao1deso3
bağdaşmak,bu1eao1deso3mfo2
bağı,bu1eao1y
bağır,bu1eao1r
bağırtlak,bu1eao1rbo2lefo2
bağırış,bu1eao1rbu2so3
bağırma,bu1eao1rmh
bağırmak,bu1eao1rmfo2
bağırtan,bu1eao1rdebo1
bağışlamak,bu1eao1yso3lemfo2
bağlama,bu1eao1lemh
bağlama,bu1eao1lemfo2
bağlan,bu1eao1lebo1
bağlanmak,bu1eao1lebo1mfo2
bağlı,bu1eao1ly
bağrış,bu1eao1ryso3
bağteten,bu1ao1bo2ho2o44
bahçe,bu1eao1xu3h
bahçıvan,bu1eao1xu3webo1
bahâne,bu1hebo1h
bahar,bu1her
bahârât,bu1herebo2
bahâdır,bu1hedr
bahâriye,bu1heryh
baharlı,bu1herly
bahir,bu1xr
bâhir,bu1ehr
bâhis,bu1ehbo3
bahis,bu1xbo3
bahnâme,bu1ehbo1emh
bahren,bu1xreo44
bahrî,bu1xry
bahriye,bu1xryh
bahriyeli,bu1xryh||ly
bahşiş,bu1xo1so3bu2so3
baht,bu1xo1bo2
bahtiyar,bu1xo1bo2yer
bahtiyarlık,bu1xo1bo2yerlfo2
bâhusus,bu1exo1zwz
baid,bu1ayd
bâis,bu1eabo3
bak,bu1efo2
bakaayâ,bu1fo2eye
bakayâ,bu1fo2eye
bakalorya,bu1efo2elwrye
baktırmak,bu1efo2dyrmfo2
bakkal,bu1fo2el
bakarî,bu1fo2ry
bakla,bu1efo2le
baklaçiçeği,bu1efo2le xu3yxu3ky
baklava,bu1efo2lewe
bakıcı,bu1efo2yxu1y
bakılmak,bu1efo2ylmfo2
bakım,bu1efo2ym
bakır,bu1efo2yr
Bakırköy,bu1efo2rkwy
bakış,bu1efo2yso3
bâkire,bu1ekrh
bakıye,bu1fo2yh
bakliye,bu1fo2lyh
bakmak,bu1efo2mfo2
bakraç,bu1efo2rexu1
bakteri,bu1efo2bo2h||ry
bakteriyoloji,bu1efo2bo2h||ryywlwro3y
bakteriyolog,bu1efo2bo2h||ryywlwao1
bal,bu1el
Bâlâ,bu1ele
bâlâ,bu1ele
balaban,bu1elebu1ebo1
balarısı,bu1el eo6rysy
balcık,bu1elxu1yfo2
baldır,bu1eldyr
baldıran,bu1eldyrebo1
baldız,bu1eldyro1
balgam,bu1elao1em
balık,bu1elyfo2
balıkçıl,bu1elyfo2xu1yl
balıkçın,bu1elyfo2xu1ybo1
Balıkesir,bu1elyksr
balıketi,bu1elyfo2 ebo2y
balıketli,bu1elyfo2 ebo2ly
balıkhâne,bu1elyfo2xo1ebo1h
balıklama,bu1elyfo2lemh
balıklamak,bu1elyfo2lemfo2
balıksırtı,bu1elyfo2 zyrbo2y
bâliğ,bu1elao1
balmumu,bu1elmwmy
balina,bu1elybo1e
balkabağı,bu1el fo2ebu1eao1y
balkan,bu1elfo2ebo1
balkon,bu1elfo2wbo1
balo,bu1elw
balon,bu1elwbo1
balpeteği,bu1el bu3bo2ko7y
balta,bu1elte
baltabaş,bu1elth||bu1eso3
baltacı,bu1eltexu1y
baltalamak,bu1eltelemfo2
baltalık,bu1eltelfo2
Balya,bu1elyh
balya,bu1elye
balyoz,bu1elywro1
bambaşka,bu1embu1eso3fo2h
bambu,bu1embu1w
bamya,bu1emyh
bamya,bu1emye
bana,bu1ko3e
bandıra,bu1ebo1dyre
bandırma,bu1ebo1dyrmh
Bandırma,bu1ebo1dyrmh
bando,bu1ebo1dw
bangır,bu1ebo1ao1yr
bânî,bu1ebo1y
banka,bu1ebo1fo2h
banker,bu1ebo1kr
banmak,bu1ebo1mfo2
banknot,bu1ebo1fo2bo1wt
banyo,bu1ebo1yw
bar,bu1er
baraka,bu1erefo2e
barbar,bu1erbu1er
barbunya,bu1erbu1wbo1yh
bardak,bu1erdefo2
barındırmak,bu1erybo1dyrmfo2
barınmak,bu1erybo1mfo2
barış,bu1eryso3
barıştırma,bu1eryso3dyrmh
barıştırmak,bu1eryso3dyrmfo2
barışık,bu1eryso3yfo2
barışma,bu1eryso3mh
barışmak,bu1eryso3mfo2
bâri,bu1ery
bârika,bu1erfo2h
bariton,bu1erybo2wbo1
bâriz,bu1erro1
bark,bu1erfo2
barometre,bu1erwmbo2rh
baroskop,bu1erwsfo2wbu3
Bartın,bu1ertybo1
barut,bu1erwbo2
barutcu,bu1erwbo2xu1y
barûdî,bu1erwdy
baruthâne,bu1erwbo2xo1ebo1h
barutluk,bu1erwbo2lfo2
baryûm,bu1erywm
bas,bu1ez
basal,bu1zl
basamak,bu1ezemefo2
basan,bu1ezebo1
basarî,bu1zry
basbayağı,bu1es||bu1eyeao1y
basdı,bu1ezdy
bastırmak,bu1ezdyrmfo2
basık,bu1ezyfo2
basıklık,bu1ezyfo2lfo2
basılı,bu1ezyly
basılış,bu1ezylyso3
basılma,bu1ezylmh
basılmak,bu1ezylmfo2
basil,bu1esyl
basîr,bu1zyr
basîret,bu1zyrbo2
basit,bu1syt
baskı,bu1ezfo2y
baskıcı,bu1ezfo2yxu1y
baskın,bu1ezfo2ybo1
Baskil,bu1eskl
baskül,bu1eskwl
basma,bu1ezme
basmacı,bu1ezmexu1y
basmacılık,bu1ezmexu1ylfo2
basmak,bu1ezmfo2
bast,bu1st
bastırılmak,bu1ezdyrylmfo2
baston,bu1esbo2wbo1
bâsur,bu1eswr
baş,bu1eso3
başabaş,bu1eso3h||bu1eso3
başak,bu1eso3efo2
başakcı,bu1eso3efo2xu1y
başaklanmak,bu1eso3efo2lebo1mfo2
başaklı,bu1eso3efo2ly
başarılmak,bu1eso3erylmfo2
başarmak,bu1eso3ermfo2
başbuğ,bu1eso3bu1wao1
başcı,bu1eso3xu1y
başdan,bu1eso3dbo1
başgöz,bu1eso3||ko7wro1
başıboş,bu1eso3y bu1wso3
başıkabak,bu1eso3y fo2ebu1efo2
başka,bu1eso3fo2h
başkaca,bu1eso3fo2h||xu1h
başkası,bu1eso3fo2h||sy
başkalaşmak,bu1eso3fo2h||leso3mfo2
Başkale,bu1eso3||fo2lah
başkalık,bu1eso3fo2h||lfo2
başkâtip,bu1eso3||kebo2bu1
başkonsolos,bu1eso3||fo2wbo1swlws
başlama,bu1eso3lemh
başlamak,bu1eso3lemfo2
başlangıç,bu1eso3lebo1ao1yxu1
başlanılmak,bu1eso3lebo1ylmfo2
başlanma,bu1eso3lebo1mh
başlanmak,bu1eso3lebo1mfo2
başlatmak,bu1eso3lebo2mfo2
başlayış,bu1eso3leyyso3
başlı,bu1eso3ly
başlıbaşına,bu1eso3ly||bu1eso3bo1h
başlıca,bu1eso3lyxu1h
başlık,bu1eso3lfo2
başmuharrir,bu1eso3||mxrr
başmüdür,bu1eso3||mdyr
başmüfettiş,bu1eso3||mfo1bo2so3
başörtü,bu1eso3||ewrbo2w
başörtülü,bu1eso3||ewrbo2wly
başsız,bu1eso3sro1
başsızlık,bu1eso3sro1lfo2
başvekâlet,bu1eso3||wkelbo2
başvekil,bu1eso3||wkyl
batak,bu1ebo2efo2
batakcı,bu1ebo2efo2xu1y
batakcılık,bu1ebo2efo2xu1ylfo2
batakhâne,bu1ebo2efo2xo1ebo1h
bataklı,bu1ebo2efo2ly
bataklık,bu1ebo2efo2lfo2
batarya,bu1ebo2eryh
batı,bu1ebo2y
batık,bu1ebo2yfo2
bâtıl,bu1etl
batın,bu1tbo1
bâtın,bu1etbo1
bâtınen,bu1etbo1eo44
bâtıni,bu1etbo1y
batırılmak,bu1ebo2yrylmfo2
batırmak,bu1ebo2yrmfo2
batış,bu1ebo2yso3
batî,bu1ty
batkın,bu1ebo2fo2ybo1
batkınlık,bu1ebo2fo2ybo1lfo2
batma,bu1ebo2mh
batmak,bu1ebo2mfo2
batman,bu1ebo2mebo1
batman,bu1tmebo1
battal,bu1tel
battâniye,bu1tebo1yh
batur,bu1ebo2wr
bavul,bu1ewwl
bayağı,bu1eyeao1y
bayağılık,bu1eyeao1yylfo2
bayat,bu1eyebo2
bayatlamak,bu1eyebo2lemfo2
bayatlaşmak,bu1eyebo2leso3mfo2
bayatlatmak,bu1eyebo2lebo2mfo2
Bayburt,bu1eybu1wrd
Bâyezid,bu1eyro1yd
baygın,bu1eyao1ybo1
baygınlık,bu1eyao1ybo1lfo2
bayılmak,bu1eyylmfo2
bayıltmak,bu1eyylbo2mfo2
Bayındır,bu1eyybo1dyr
bayır,bu1eyr
bâyi,bu1eya
baykuş,bu1eyfo2wso3
bayrak,bu1eyrefo2
bayraktar,bu1eyrefo2der
bayram,bu1eyrem
Bayramiç,bu1eyremyxu3
bayramlaşmak,bu1eyremleso3mfo2
bayramlık,bu1eyremlfo2
baytar,bu1ytr
bâzan,bu1azo1eo44
bâzı,bu1azo1y
bazu,bu1ero1w
be,bu1h
bebek,bu1bu1k
becâyiş,bu1xu1eyso3
becerik,bu1xu1yryk
becerikli,bu1xu1rykly
beceriksiz,bu1xu1ryksro1
becermek,bu1xu1rmk
becertmek,bu1xu1rbo2mk
bedbaht,bu1dbu1xo1bo2
bedbahtlık,bu1dbu1xo1bo2lfo2
bedâhet,bu1dehbo2
bedâva,bu1edhwe
bedâva,bu1dewe
bedâyi,bu1deya
bedbin,bu1dbu1ybo1
bedbinlik,bu1dbu1ybo1lk
bedduâ,bu1ddae
bedel,bu1dl
bedelci,bu1dlxu1y
bedelli,bu1dlly
beden,bu1dbo1
bedesten,bu1dsbo2ebo1
bedevî,bu1dwy
bedia,bu1dyah
bedihi,bu1dyhy
bedihiyat,bu1dhyhebo2
bedir,bu1dr
begonya,bu1h||ao1wbo1ye
beğendi,bu1ko7bo1dy
beğendirmek,bu1ko7bo1dyrmk
beğenilmek,bu1ko7bo1ylmk
beğenmek,bu1ko7bo1mk
behemehal,bu1hmh||xel
beher,bu1hr
behey,bu1hy
behime,bu1hymh
behişt,bu1hso3bo2
behre,bu1hrh
behresiz,bu1hrh||sro1
beis,bu1eo5s
bekâ,bu1fo2e
bakâyâ,bu1fo2eye
bekâr,bu1ker
bekâret,bu1kerbo2
bekârlık,bu1kerlfo2
bekçi,bu1kxu1y
beklemek,bu1klh||mk
beklenmek,bu1klh||bo1mk
bekleşmek,bu1klh||so3mk
bekletmek,bu1klh||bo2mk
bekrî,bu1kry
bektaşi,bu1kbo2eso3y
bel,bu1l
belâ,bu1le
belâgat,bu1leao1bo2
belâhet,bu1lehbo2
belâlı,bu1lely
Belçika,bu1lxu3yfo2e
belde,bu1ldh
beledi,bu1ldy
belediye,bu1ldyh
beleş,bu1lso3
belkemiği,bu1l kmyky
belki,bu1lkh
bellâdon,bu1h||lledwbo1
belleme,bu1lh||mh
bellemek,bu1lh||mk
bellenmek,bu1lh||bo1mk
bellenmiş,bu1lh||bo1mso3
belletmek,bu1lh||bo2mk
belli,bu1lly
bellisiz,bu1llysro1
belî,bu1ly
beliğ,bu1lyao1
belirmek,bu1lyrmk
belirsiz,bu1lyrsro1
beliyye,bu1lyh
belsoğukluğu,bu1l zwao1wfo2lao1y
bemol,bu1h||mwl
bembeyaz,bu1m||bu1yezo1
ben,bu1bo1
ben,bu1ko3
benam,bu1bo1em
bend,bu1bo1d
bende,bu1bo1dh
bendegân,bu1bo1d||ko7ebo1
bender,bu1bo1dr
benek,bu1bo1k
benekli,bu1bo1kly
beneksiz,bu1bo1ksro1
benîâdem,bu1bo1y||eo6dm
benim,bu1bo1m
benimki,bu1bo1ymky
benimsemek,bu1bo1msh||mk
beniz,bu1ko3ro1
benli,bu1bo1ly
benlik,bu1bo1lk
benzemek,bu1ko3ro1h||mk
benzer,bu1ko3ro1h||r
benzetme,bu1ko3ro1h||bo2mh
benzetmek,bu1ko3ro1h||bo2mk
benzeyiş,bu1ko3ro1h||yyso3
benzin,bu1bo1ro1ybo1
berâber,bu1rebu1r
berâet,bu1rebo5bo2
berat,bu1rebo2
berbat,bu1rbu1ed
berber,bu1rbu1r
berberî,bu1rbu1ry
bere,bu1rc
bereket,bu1rkbo2
Bergama,bu1rao1mh
bergüzar,bu1rko7ro1er
berhâne,bu1rxo1ebo1h
berhavâ,bu1rhwe
berhudâr,bu1rxo1wrder
beri,bu1ry
beriki,bu1ryky
berkarar,bu1rfo2rer
berrak,bu1refo2
bertaraf,bu1rtrfo1
berzah,bu1rro1xo1
besbelli,bu1sbu1lly
besi,bu1sy
besili,bu1syly
besleme,bu1slh||mh
beslemek,bu1slh||mk
beslenmek,bu1slh||bo1mk
besletmek,bu1slh||bo2mk
besmele,bu1smlh
beste,bu1sbo2h
bestekâr,bu1sbo2h||ker
bestelemek,bu1sbo2h||lh||mk
besteli,bu1sbo2h||ly
Besni,bu1sbo1y
beş,bu1so3
beşâret,bu1so3erbo2
beşâşet,bu1so3eso3bo2
beşbıyık,bu1so3 bu1yyfo2
beşer,bu1so3r
beşere,bu1so3rh
beşik,bu1so3yk
beşinci,bu1so3bo1xu1y
beşir,bu1so3yr
Beşîri,bu1so3yry
beşleme,bu1so3lh||mh
beşli,bu1so3ly
beşlik,bu1so3lk
beşûş,bu1so3wso3
betaaet,bu1tebo5bo2
betaet,bu1tebo5bo2
beter,bu1bo2r
beton,bu1h||bo2wbo1
betonarme,bu1h||bo2wbo1||eo6rmh
betül,bu1bo2wl
bevil,bu1wl
bevvab,bu1webu1
bey,bu1k
beyâban,bu1yebu1ebo1
beyan,bu1yebo1
beyarı,bu1k eo6ry
beyarmudu,bu1k eo6rmwdy
beyâti,bu1yebo2y
beyaz,bu1yezo1
beyazlanmak,bu1yezo1lebo1mfo2
beyazlaşmak,bu1yezo1leso3mfo2
beyazlatmak,bu1yezo1lebo2mfo2
beyazlık,bu1yezo1lfo2
beyefendi,bu1k efo1bo1dy
beygir,bu1yko7yr
beyhûde,bu1yhwdh
beyin,bu1ybo1
beyinsiz,bu1ybo1sro1
beyit,bu1ybo2
Beykoz,bu1kfo2wro1
beylik,bu1klk
beylikci,bu1klkxu1y
Beyoğlu,bu1k ewao1ly
Beypazarı,bu1kbu3ero1ery
Beyşehir,bu1kso3hr
Beytişebab,bu1ybo2y so3bu1ebu1
beyyine,bu1ybo1h
beyza,bu1yzo1h
beyzâde,bu1ko7ro1edh
beyzî,bu1yzo1y
bez,bu1ro1
bez,bu1ro1
bezelye,bu1ro1lyh
bezemek,bu1ro1h||mk
bezen,bu1ro1h||bo1
bezenmek,bu1ro1h||bo1mk
bezgin,bu1ro1kybo1
bezik,bu1ro1bu1k
bezir,bu1ro1yr
bezir,bu1do1r
bezirgan,bu1ero1r||kebo1
beziryağı,bu1do1r yeao1y
bezl,bu1do1l
bezm,bu1ro1m
bezmek,bu1ro1mk
bezzaz,bu1ro1ero1
bıçak,bu1yxu3efo2
bıçakçı,bu1yxu3efo2xu1y
bıçaklamak,bu1yxu3efo2lemfo2
bıçkı,bu1yxu3fo2y
bıçkıcı,bu1yxu3fo2yxu1y
bıkdırmak,bu1yfo2dyrmfo2
bıkılmak,bu1yfo2ylmfo2
bıkıntı,bu1yfo2ybo1bo2y
bıkkın,bu1yfo2fo2ybo1
bıkkınlık,bu1yfo2fo2ybo1lfo2
bıkmak,bu1yfo2mfo2
bıldır,bu1yldyr
bıldırcın,bu1yldyr||xu1ybo1
bıngıldak,bu1bo1ao1yldefo2
bırakdırmak,bu1refo2dyrmfo2
bırakılmak,bu1refo2ylmfo2
bırakmak,bu1refo2mfo2
bıyıklanmak,bu1yyfo2ylebo1mfo2
bıyıklı,bu1yyfo2ly
bıyıksız,bu1yyfo2sro1
bîaman,bu1y||eo5mebo1
bîat,bu1ybo2
bîbehre,bu1y||bu1hrh
biber,bu1ybu1r
biber,bu1bu1r
bîedeb,bu1y||eo5dbu1
biblo,bu1ybu1lw
bîçâre,bu1yxu3erh
biçdirmek,bu1yxu3dyrmk
biçilmek,bu1yxu3ylmk
biçilmiş,bu1yxu3ylmso3
biçim,bu1yxu3ym
biçimli,bu1yxu3ymly
biçimsiz,bu1yxu3ymsro1
biçki,bu1yxu3ky
biçmek,bu1yxu3mk
bîdâr,bu1yder
bid'at,bu1dabo2
bidâyet,bu1deybo2
bidon,bu1ydwbo1
biftek,bu1yfo1bo2k
Biga,bu1yao1e
bîgâne,bu1ykebo1h
biğayrihakkın,bu1ao1yrxfo2u44
bihakkın,bu1xfo2u44
bîhûş,bu1yhwso3
bikarbonat,bu1yfo2erbu1wbo1ebo2
bîkes,bu1yks
bikir,bu1kr
bilâd,bu1led
bilâhare,bu1eleo6xo1rh
bil'âkis,bu1elaks
bilârdo,bu1ylerdw
bilcümle,bu1elxu1mlh
bildik,bu1yldk
bildirilmek,bu1yldyrylmk
bildirmek,bu1yldyrmk
bile,bu1ylh
Bilecik,bu1ylh||xu1k
bileği,bu1ylh||ko7y
bileğitaşı,bu1ylh||ko7y teso3y
bilek,bu1ylk
bilemek,bu1ylh||mk
bilenmek,bu1ylh||bo1mk
bilet,bu1ylbo2
biletci,bu1ylbo2xu1y
biletmek,bu1ylh||bo2mk
bilezik,bu1ylh||ro1yk
bilfiil,bu1elfo1al
bilgi,bu1ylko7y
bilgili,bu1ylko7yly
bilgiç,bu1ylko7yxu3
bilgisiz,bu1ylko7ysro1
bilhassa,bu1elxo1ezh
bilinmek,bu1ylybo1mk
bilinmez,bu1ylybo1mro1
biliş,bu1ylyso3
bilişmek,bu1ylyso3mk
bilmece,bu1ylmxu1h
bilmedik,bu1ylmh||dk
bilmek,bu1ylmk
bilmez,bu1ylmro1
bilezlik,bu1ylmro1lk
bil'ûmum,bu1elamwm
billûr,bu1llwr
bin,bu1yko3
binâ,bu1bo1e
binâberîn,bu1bo1ebu1rybo1
binâen,bu1bo1eco44
binaenaleyh,bu1bo1eco44 alyh
binbaşı,bu1yko3bu1eso3y
bindirmek,bu1ybo1dyrmk
binefsihî,bu1bo1fo1sh
binek,bu1ybo1k
binekatı,bu1ybo1k eo6bo2y
binektaşı,bu1ybo1k teso3y
biner,bu1yko3r
binici,bu1ybo1yxu1y
binicilik,bu1ybo1yxu1ylk
bînihaye,bu1y||bo1heyh
binilmek,bu1ybo1ylmk
biniş,bu1ybo1yso3
binlik,bu1yko3lk
binmek,bu1ybo1mk
bîpervâ,bu1y||bu3rwe
bir,bu1r
bira,bu1yre
birâder,bu1redr
birahâne,bu1yrexo1ebo1h
biraz,bu1rero1
birçok,bu1rxu3wfo2
birçok,bu1rxu3wfo2
birden,bu1rdbo1
birdenbire,bu1rdbo1||bu1rh
berdevam,bu1rdwem
birebir,bu1rh||bu1r
Birecik,bu1yrh||xu1k
birer,bu1rr
biri,bu1ry
birbiri,bu1rbu1ry
biricik,bu1ryxu1k
birikdirmek,bu1rykdyrmk
birikinti,bu1rykybo1bo2y
birikmek,bu1rykmk
birinci,bu1rbo1xu1y
bininci,bu1yko3bo1xu1y
birisi,bu1rysy
birkaç,bu1rfo2exu1
birleşmek,bu1rlso3mk
birleştirmek,bu1rlso3dyrmk
birli,bu1rly
birlik,bu1rlk
birlikte,bu1rlkdh
birtakım,bu1rtefo2m
bîset,bu1abo3bo2
bisiklet,bu1ysyfo2lh||bo2
bismillah,bu1sm||ellh
bisturi,bu1ysbo2wry
bit,bu1ybo2
bîtab,bu1y||bo2ebu1
bîtaraf,bu1ytrfo1
bitik,bu1ybo2yk
bitirim,bu1ybo2yrym
bitirme,bu1ybo2yrmh
bitirmek,bu1ybo2yr||mk
bitişdirmek,bu1ybo2yso3dyrmk
bitişik,bu1ybo2yso3yk
bitişmek,bu1ybo2yso3mk
bitkin,bu1ybo2kybo1
bitlenmek,bu1ybo2lh||bo1mk
bitmek,bu1ybo2mk
bitpazarı,bu1ybo2 bu3ero1ery
